Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_age,HOST,host_subject_id,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25213836,WXS,598,73993267,PRJNA991269,SAMN36291079,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",49782001,SAN PABLO CEU,2018,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960497,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 21,Illumina MiSeq,40.41 N 3.70 W,Gran 21,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:38:00Z,1,AA 021,SRP447710
SRR25213837,WXS,598,88454946,PRJNA991269,SAMN36291078,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",59295424,SAN PABLO CEU,2018,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960496,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 19,Illumina MiSeq,40.41 N 3.70 W,Gran 19,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:38:00Z,1,AA 019,SRP447710
SRR25213838,WXS,597,116837042,PRJNA991269,SAMN36291077,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",78731153,SAN PABLO CEU,2018,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960495,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 18,Illumina MiSeq,40.41 N 3.70 W,Gran 18,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 018,SRP447710
SRR25213839,WXS,598,123750217,PRJNA991269,SAMN36291076,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",83617781,SAN PABLO CEU,2018,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960494,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 17,Illumina MiSeq,40.41 N 3.70 W,Gran 17,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 017,SRP447710
SRR25213840,WXS,598,78912361,PRJNA991269,SAMN36291075,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",52603536,SAN PABLO CEU,2018,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",ENVO:01001029,ENVO:01001033,collection kit,SRX20960493,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 15,Illumina MiSeq,40.41 N 3.70 W,Gran 15,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:38:00Z,1,AA 015,SRP447710
SRR25213841,WXS,598,78319284,PRJNA991269,SAMN36291074,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",52336915,SAN PABLO CEU,2018,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960492,Spain,Europe,Spain,Grandmothers,Homo sapiens,Gran 14,Illumina MiSeq,40.41 N 3.70 W,Gran 14,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,AA 014,SRP447710
SRR25213842,WXS,598,111438145,PRJNA991269,SAMN36291188,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",75695285,SAN PABLO CEU,2018,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",ENVO:01001029,ENVO:01001033,collection kit,SRX20960491,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 67,Illumina MiSeq,40.41 N 3.70 W,Moth 67,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:38:00Z,1,MC 009 010,SRP447710
SRR25213843,WXS,598,73788320,PRJNA991269,SAMN36291187,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",50242212,SAN PABLO CEU,2018,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960490,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 66,Illumina MiSeq,40.41 N 3.70 W,Moth 66,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,MC 005 006,SRP447710
SRR25213844,WXS,598,104683926,PRJNA991269,SAMN36291186,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",70155640,SAN PABLO CEU,2019,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",ENVO:01001029,ENVO:01001033,collection kit,SRX20960489,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 58,Illumina MiSeq,40.41 N 3.70 W,Moth 58,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:39:00Z,1,MC 016,SRP447710
SRR25213845,WXS,598,77613444,PRJNA991269,SAMN36291185,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",52206134,SAN PABLO CEU,2019,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",ENVO:01001029,ENVO:01001033,collection kit,SRX20960488,Spain,Europe,Spain,Mothers,Homo sapiens,Moth 56,Illumina MiSeq,40.41 N 3.70 W,Moth 56,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2024-03-05T00:00:00Z,2023-07-10T13:38:00Z,1,MC 014,SRP447710
