"","GABA","Choline","Cadaverine","Putrescine","Tryptophan","Aspartic Acid","Glycine","Histidine","Propionic Acid","Butyric/Isobutyric Acid","Valeric/Isovaleric Acid","Caproic Acid","Hippuric Acid","Glucose (and isomers)"
"Gran_29_T",0.396,0.7944441,0.06800682,0.01785673,1.24336939,4.20423022,2.20835995,0.21705541,1.86174363,2.42387629,2.84594068,0.09816203,3.63037861,0.21748324
"Gran_18_T",0.512,0.5541825,0.1900292,1.0911778,0.8494999,2.9249497,1.1860076,0.7795043,6.9246399,17.2344075,3.74671,5.0611796,0.9404893,1.541797
"Moth_05_T",0.367,0.75851809,0.30983093,0.94662672,0.77641797,2.29787902,1.35928877,0.44754032,13.44017295,23.26965398,7.63060866,2.97675075,0.02609023,1.15104259
"Moth_20_T",0.153,0.1097549,0.2745968,0.1149123,0.6357658,2.2645098,0.8725313,0.596407,7.2937144,14.0485063,5.9743079,0.6063172,0.3940241,0.5625083
"Inf_09_T",0.694,1.5682853,2.4880333,2.7292734,1.7326178,4.8493197,2.5218751,1.7988739,24.4782951,0.5012464,0.3539835,0.0515533,0.0170924,3.831928
"Inf_17_T",1.038,0.556499,1.847207,0.4043394,0.8413536,3.9045702,1.0515531,1.322046,15.4037986,2.1539921,3.1198459,0.1135937,0.1421711,0.6403294
"Inf_22_T",3.426,0.20651963,1.13691247,0.31931652,0.33186786,2.65178725,1.39302097,0.31397242,2.64703664,1.17237023,0.25322547,0.09786903,0.03285431,3.23230572
"Moth_17_T",0.37317825,0.03520429,0.07925702,0.01996039,1.3772007,6.30792482,2.10130057,0.56836808,8.30784995,8.78531155,8.36016146,0.28235124,0.03920193,0.1243595
"Gran_09_T",0.197,0.28169303,0.01810606,0.05200824,0.39429434,2.84064717,0.99661084,0.2752923,4.03510521,5.22127579,6.73469322,0.57030206,0.03240345,0.14087539
"Moth_11_T",0.087,0.0473393,3.11849942,0.10131564,0.79623901,2.26121818,1.31856924,0.34690807,9.31835453,10.37439799,7.47508945,0.21419694,0.04871419,0.18256102
"Inf_07_T",2.794,0.35568961,32.16774106,2.11314952,1.53606302,6.34416807,4.08346509,5.6946505,3.95846002,6.69263456,1.90555708,0.05042446,0.05854138,0.82937825
