project_accession	sample_accession	sample_name	experiment_accession	run_accession	experiment_title	library_name	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	file_type	file_name	file_md5	file2_name	file2_md5	file3_name	file3_md5
CNP0000334	CNS0046780	C0152	CNX0036820	CNR0054899	DNA-seq of human gut	C0152	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0152_RmHost.1.fq.gz	07b681524a8380617ef9f31dde1f5dd7	C0152_RmHost.2.fq.gz	6c1d8a46bc6686aed65b35db37abe436		
CNP0000334	CNS0046893	C0153	CNX0036821	CNR0054900	DNA-seq of human gut	C0153	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0153_RmHost.1.fq.gz	7cbc9c658afc391a7e591049715ba005	C0153_RmHost.2.fq.gz	3820824bc18bfd20d60d9c0013e118c2		
CNP0000334	CNS0046775	C0156	CNX0036822	CNR0054901	DNA-seq of human gut	C0156	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0156_RmHost.1.fq.gz	1a699829c702bde4db7cc6e02d36ffe6	C0156_RmHost.2.fq.gz	3c16bcde68823ef0176b9fcae595d1bd		
CNP0000334	CNS0046951	C0157	CNX0036823	CNR0054902	DNA-seq of human gut	C0157	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0157_RmHost.1.fq.gz	bb027fb398f25937df0737988f80ac30	C0157_RmHost.2.fq.gz	2ca9c1eef472cd5b2a3dc024c378ca17		
CNP0000334	CNS0046964	C0160	CNX0036824	CNR0054903	DNA-seq of human gut	C0160	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0160_RmHost.1.fq.gz	4a86411ff753e22814a6dbd4bfb45eb3	C0160_RmHost.2.fq.gz	19417d521f73f9cd3d0e2edf5b87fe7b		
CNP0000334	CNS0046977	C0161	CNX0036825	CNR0054904	DNA-seq of human gut	wHAXPI054798-97	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0161_RmHost.1.fq.gz	81668ae48b4db5e9ce6893f879567760	C0161_RmHost.2.fq.gz	f94696d5ab21a36cd76a896bd7c44e51		
CNP0000334	CNS0046861	C0162	CNX0036826	CNR0054905	DNA-seq of human gut	wHAXPI054946-80	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0162_RmHost.1.fq.gz	470a8b3d093528c3dcb06835a731d5e6	C0162_RmHost.2.fq.gz	97a346ebc9ce2dc9d14cc4ba2890e57c		
CNP0000334	CNS0046846	C0163	CNX0036827	CNR0054906	DNA-seq of human gut	C0163	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0163_RmHost.1.fq.gz	7f33056882972c3a3288d62972dbbc56	C0163_RmHost.2.fq.gz	31b778248cf6adb4018377f4cc990e4b		
CNP0000334	CNS0046772	C0164	CNX0036828	CNR0054907	DNA-seq of human gut	C0164	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	C0164_RmHost.1.fq.gz	52655736bd82516d9f6bd599b0f6a754	C0164_RmHost.2.fq.gz	0cfb15ae15a5b2babf4bc690bda901e5		
CNP0000334	CNS0047009	K0002	CNX0036829	CNR0054908	DNA-seq of human gut	K0002	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	Illumina HiSeq 2000	Paired-end DNA Sequencing	fastq	K0002_RmHost.1.fq.gz	0423df87ce27252b3a3de6e2e861697b	K0002_RmHost.2.fq.gz	0389b74c1adcdf09c89f103892757a37		
