"","sample_id","3.oxolithocholic_acid","Acetate","alloisolithocholic_acid","Butyrate","cholic_acid","deoxycholic_acid","glycocholic_acid","isodeoxycholic_acid","lithocholic_acid","propionate","succinate","taurocholic_acid","5aminovalerate","allocholic_acid","alpha.muricholic_acid","beta.muricholic_acid","chenodeoxycholic_acid","Glycine","glycochenodeoxycholic_acid","proline","taurochenodeoxycholic_acid","Tyramine","ursocholic_acid","ursodeoxycholic_acid","5hiaa","anthranilic_acid","kynurenic_acid","kynurenine","niacin","Phenylalanine","serotonin","tryptamine","Tryptophan","Tyrosine"
"210","LiverD-301.01",0,36.86,0,0.92,4.97,0,0.01,0,0,2.84,0.19,0,,,,,,,,,,,,,,,,,,,,,,
"211","LiverD-300.01",0,7.01,0,0,10.27,0.78,0,0,0,0,0.68,0,,,,,,,,,,,,,,,,,,,,,,
"212","LiverD-299.02",0,0.64,0,0,0.62,0,187.57,0,0,0,0.79,49.71,,,,,,,,,,,,,,,,,,,,,,
"213","LiverD-234.12",0.275,20.46,0,1.91,783.033,30.26,0.244,1.842,0.892,6.42,1.14,1.953,,,,,,,,,,,,,,,,,,,,,,
"214","LiverD-234.11",0.222,10,0.124,0.58,0.671,0.04,0.016,0.045,0,3.56,29.85,0,,,,,,,,,,,,,,,,,,,,,,
"215","LiverD-218.06",4.082,54.71,0.517,3.03,1.72,121.012,0,10.405,78.776,12.3,0.72,0,,,,,,,,,,,,,,,,,,,,,,
"216","LiverD-191.12",39.223,64.27,1.102,5.86,3.481,507.425,1.143,25.867,171.03,11.72,1.91,0.026,,,,,,,,,,,,,,,,,,,,,,
"217","LiverD-191.11",35.057,33.46,1.55,5.04,3.362,581.38,0.927,24.957,127.123,6.57,1.35,0.009,,,,,,,,,,,,,,,,,,,,,,
"218","LiverD-218.08",3.336,55.31,0.217,18.4,88.142,299.512,0.081,22.462,59.137,14.11,1.21,0.096,,,,,,,,,,,,,,,,,,,,,,
"219","LiverD-187.16",2.373,69.23,0.563,16.82,25.512,1517.678,0.208,27.467,529.88,36.37,0.77,37.703,,,,,,,,,,,,,,,,,,,,,,
"220","LiverD-149.05",0.265,31.88,0.155,0.58,11.511,0.033,0.014,0.046,0,1.05,0.26,0,,,,,,,,,,,,,,,,,,,,,,
"221","LiverD-039.01",18.79715286,77.6,40.74320595,19.31,0.557784937,120.4968024,0.059154511,10.58107437,206.151457,18.99,2.06,0,,,,,,,,,,,,,,,,,,,,,,
"222","LiverD-146.31",0.231,9.12,0.006,0.58,149.034,0.428,1.367,0.044,0,0.49,0.82,19.949,,,,,,,,,,,,,,,,,,,,,,
"223","LiverD-136.24",0,3.6,0,0.62,269.289,0.517,482.589,0,0,0.24,1.19,719.79,,,,,,,,,,,,,,,,,,,,,,
"224","LiverD-136.22",0,1.43,0,0.46,0.555,0,16.947,0,0,0.66,1.01,19.681,,,,,,,,,,,,,,,,,,,,,,
