"sample_id","(+/-)-Tryptophan","(N(1) + N(8))-acetylspermidine","1-methyl-4-imidazoleacetate","1H-Indole-3-propanoic acid","2-aminoadipate","2-hydroxy-3-methylpentanoate","2,3-Pyridinedicarboxylate","2,5-Dihydroxybenzoate","3-Hydroxyanthranilate","3-Phenyllactate","39.01_1H-indole","4-acetamidobutanoate","4-imidazoleacetate","4-Imidazoleacrylic acid","Ala","Arg","Asp","citrulline","DL-Leucine","DL-Lysine","DL-METHIONINE","DL-Ornithine","Dl-Proline","Gln","Gly","His","histamine","homovanillate","I(-)","imidazole propionate","indole-3-lactate","L-(-)-Phenylalanine.1","L-serine","L-threonine","L-tyrosine","L-valine","N-epsilon-acetyl-L-lysine","pipecolic acid","taurine","xanthurenate"
"9025-E_S",36784215,54088,617809,3018473,313324,4614135,1369174,1224183,73,408483,54915,6544,112037,30883,153934,1838117,14290113,84225,114105195,705304,103948,21749222,3621231,927359,17743,97746728,18,2003419,74153193,211,1337197,65682516,14706,70926,17752556,135572782,4415,24838,231776,NA
"9024-A_S",70263732,39329,5067,NA,530361,5071324,2578617,NA,383,944741,45895,15178,75407,59100,140156,1866247,14566877,91951,144576188,1291048,173123,24814973,4126320,1164058,13082,86038837,216,2817001,94623277,872,1365021,100200184,20986,81297,32498564,165018509,4824,20316,211111,NA
"9024-B_S",65559081,40647,6901,NA,397027,4369895,2920389,NA,543,697643,48664,16529,69476,57342,134578,1768387,21094563,90992,146493616,1248266,158199,28392720,4232621,1275365,12254,91173523,370,2743281,99383119,856,888707,104437581,22226,85746,33751805,166191375,4741,22810,195851,NA
"9003-C_S",93035772,63296,750251,NA,616656,4426410,4889888,NA,369,1335710,54845,9928,69064,64730,137968,1688949,14389494,62208,185183818,1321736,194308,25059922,5986488,1274657,16003,118874429,3097,2543405,113858663,809,1979177,115310537,22820,101900,26340481,182271301,5314,19437,238991,153066
"9024-D_S",67787617,45065,NA,NA,384575,4922364,2910824,NA,431,999100,48282,15194,66811,77026,151059,2067355,10431325,90224,153386519,1359834,176052,27180743,4254664,1225973,12763,94945275,1003,3372541,96058537,1294,1087977,110264156,21781,92119,38529393,180181412,4754,25478,239418,NA
"9024-E_S",52671807,32336,1113908,NA,472126,7728304,2822136,126133,578,986942,49439,10164,96943,36531,111972,1646820,18366699,77035,130203045,886909,140662,22944839,3008558,1123352,12216,84967798,105,2609872,88079439,1654,1210629,99812666,20825,53812,27131606,133719019,4976,24481,223505,NA
"9022-A_S",72753595,56171,3536,NA,NA,3828249,2122288,1065296,112,948302,60099,22446,72793,22982,123285,1956181,16296214,124237,154806791,666912,144064,38540934,3441177,1407562,24458,117446830,82,2180638,95887503,1430,2725379,104274007,24789,57832,24372835,142332396,7514,29646,253110,NA
"9022-B_S",76924581,64823,10041,NA,525452,4010585,2276687,11533703,225,1574092,63329,22283,73896,34479,185574,2384649,16038312,170610,176402639,534010,178744,50729531,6426859,1539668,24815,135098995,29,3579209,112341072,1211,2319136,151941471,27811,77510,39981539,175704247,7451,591703,246050,NA
"9022-C_S",83098019,64285,7773,NA,274819,4108810,2657856,200226,443,1148654,59853,17622,72978,26392,150414,2072136,21754103,102154,181825398,890194,187342,39231957,4187316,1372486,28767,120088638,14,2708173,105836460,668,2822150,118457931,24067,78832,30399215,165872731,7509,23180,253526,NA
"9022-D_S",65794676,56562,3666,17239878,179136,3772435,1734700,5256885,166,1109922,61230,27405,120514,47660,130520,2124532,15760813,110881,152158311,826714,167339,35256568,3311856,1446452,24022,116621004,35,2706949,82556171,394,2328658,112858614,22403,57520,27061757,136638641,6551,27661,257060,NA
