"sample_id","12-keto Lithocholic Acid","13.36_acetic acid","16.89_propanoic acid","19.04_2-methylpropanoic acid","20.13_butanoic acid","26.93_hexanoic acid","3-dehydrocholate","3-oxoLCA","3<U+03B2>-Cholic Acid","3<U+03B2>-Ursodeoxycholic Acid","6-keto Lithocholic Acid","7_DHCA","7-ketolithocholic acid","b-D-Glucopyranosiduronic acid, (3a,5b)-24-[(carboxymethyl)amino]-24-oxocholan-3-yl","CA","CDCA","chenodeoxycholate/deoxycholate","Deoxycholic acid glycine conjugate","GCA","glycochenodeoxycholate","glycoursodeoxycholate","HCA","hyodeoxycholate/ursodeoxycholate","Isovalerate","LCA","LCA-S","Norca","T-<U+03B2>MCA","taurochenodeoxycholate","taurocholate","taurodeoxycholate","TBA","Valerate","<U+03B1>-hyodeoxycholic acid"
"QCS-012-3f",29351.7480618557,1.232,0.3071,0.0116,1.5428,2e-04,14085.5851134021,1091.29777319588,13248.8119175258,9681.97521649485,3251.33682474227,30587.916742268,22050.9383092784,5.26293958762887,200159.131731959,230278.205907835,134673.26142268,2.61946391752577,197.98781443299,275.771340206186,79.1660206185567,4435.8438556701,108369.841731959,0.0108,49264.6217113402,61789.4159849485,330.416268041237,3346.94725773196,721.52842556701,275.334762886598,73.3449896907216,0.918620506309484,0.0057,992.194721649484
"QCS-013-1f",29013.0318636364,1.2915,1.6074,0.2104,0.9578,0.0106,37409.8863409091,81.4076136363636,292026.915522727,473933.711977273,13448.13675,297688.073159091,225639.367522727,5.80119477272727,1844172.30809091,826332.2892,600739.183659091,2.88736363636364,455.722227272727,328.999045454545,326.062757045454,20084.5816590909,1633764.45867125,0.2508,5383.64990909091,73349.2127163636,1575.05686363636,8864.04595454545,561.211255681818,1416.17165909091,343.836886363636,6.39496614359057,0.5901,8020.13372727273
"QCS-013-2f",526912.930561151,0.714,0.6521,0.1518,0.8048,0.0032,51.3309090909091,679992.524093374,65.1617373737374,809.103454545454,791.993151515151,144.867232323232,557.296828282828,726.547668282828,945.130363636364,6457.78482828283,795440.093353535,945.700707070707,70.7938787878788,165.613474747475,53.9601923232323,357.320161616162,813.523616161616,0.1845,1483316.6918981,427.819600606061,921.67498989899,96.3880404040404,22.2947248484848,7.41446464646465,2.4239595959596,3.50190080793061,0.2176,1804.42404040404
"QCS-013-3f",270886.851144404,0.5422,0.4908,0.0706,0.5626,0.0012,118.183957446809,262353.683868085,152.873276595745,3360.0585106383,1366.6240212766,941.867574468085,3932.35719148936,1460.37979021277,4464.93585106383,13010.1465531915,1499550.78919149,2022.71768085106,120.811936170213,228.333808510638,126.511646595745,1349.95512765957,6785.21580851064,0.0937,2608080.03800445,11011.8690744681,1583.09438297872,149.494446808511,10.8625623404255,0.976106382978723,22.0750212765957,4.70201141785651,0.0964,8920.71131914894
"QCS-014-1f",177065.606189474,1.3597,1.5643,0.1995,2.2088,0.1614,104.829873684211,99632.7339578947,259.882989473684,465.159347368421,499.334926315789,169.689178947368,211.294231578947,619.774867157895,9546.72509473684,4699.58787368421,921557.785073684,900.526505263158,97.9204631578947,325.262357894737,25.5031543157895,1098.15050526316,912.042189473684,0.1978,1320857.93859545,5589.67819726316,608.102421052632,375.337010526316,32.39622,8.76677894736842,102.155263157895,2.54835906958156,0.5413,2592.88631578947
"QCS-014-2f",84505.0454862385,1.684,1.5518,0.1731,2.3768,0.0138,21915.8022752294,6282.46177981651,184026.406862385,215692.739009174,5780.76100917431,161714.70906422,99820.7759816514,62.6957607339449,1167740.98456881,565308.528903578,1328116.16293578,185.580073394495,428.077412844037,721.405302752293,272.179790825688,11937.0205688073,665853.538891927,0.213,570898.432656936,176.458417798165,402.176495412844,4745.56609174312,726.890469541284,1678.50895412844,2550.91660550459,5.10248396391886,0.5928,940.138550458716
"QCS-014-3f",382822.203024092,1.1925,1.0354,0.1412,2.1923,0.003,243.015357798165,92740.6306972477,364.490660550459,7316.62066055046,1795.06308256881,1025.54682568807,2617.61146788991,480.971618899083,5526.09023853211,27688.8577614679,1774879.40414679,2494.84111926606,116.165614678899,336.517669724771,42.5966488073394,1708.23025688073,6638.01662385321,0.1584,1242513.5929456,14898.1325937615,1198.24119266055,581.799357798165,46.6087009174312,13.0799633027523,104.445449541284,3.57593151454125,0.2882,7738.74086238532
"QCS-016-1f",96188.984254902,0.5665,0.4216,0.1068,0.6603,0.0057,80.8210196078431,77140.9645686275,18.3369607843137,586.575156862745,1022.3028627451,392.826137254902,980.57762745098,315.925075490196,534.262921568627,2317.03068627451,429095.53854902,185.722274509804,91.1312352941176,78.9527254901961,51.2085578431373,828.277058823529,1438.10209803922,0.1518,654121.086173078,523.49186,2413.55921568627,230.076960784314,30.8704464705882,15.6383137254902,48.0220784313725,1.27390698183837,0.1407,5176.69701960784
"QCS-016-2f",93169.129,0.7445,0.3628,0.026,1.2588,0.0016,232.272363636364,56643.7383863636,4958.80643181818,1109.71009090909,788.571090909091,225.053954545455,835.891772727273,65.6169427272727,682.540681818182,9805.48690909091,387594.721863636,2.88736363636364,1.12286363636364,7.53922727272727,23.8440093181818,161.211136363636,1651.49179545455,0.031,300974.951196045,156.847207045455,405.032954545454,66.4093636363636,9.81543227272727,8.50168181818182,17.4845909090909,0.859762455991954,0.0451,163.777681818182
"QCS-016-3f",496758.598068,0.705,0.5134,0.2842,1.5527,0.0398,79.0799569892473,198817.120900172,159.905440860215,6854.83584946236,2831.0928172043,91.5263225806451,1419.64460215054,1519.12900946237,1263.83735483871,5215.71021505376,1444254.55797849,1716.15649462366,19.8838279569892,16.3927741935484,31.0422982795699,1481.11750537634,8729.00047311828,0.3674,2475163.43253333,158.662322150538,1275.06944086021,418.62288172043,0.782451397849462,1.13838709677419,1.89731182795699,4.6505159267871,0.4933,2237.68956989247
