"","Acetate","Propionate","Isobutyrate","Butyrate","Isovalerate","Valerate","Hexanoate","TBA","Glycoursodeoxycholic acid","glycolithocholate","LCA-S","GCA","taurocholic acid","dehydrolithocholic acid","lithocholic acid","7-ketolithocholic acid","12-keto Lithocholic Acid","chenodeoxycholic acid","Deoxycholic acid","6-keto Lithocholic Acid","3β-Ursodeoxycholic Acid","ursodeoxycholic acid","α-hyodeoxycholic acid","Norcholic Acid","7_DHCA","3-dehydrocholic acid","3β-Cholic Acid","Tauro-β-muricholic Acid","Hyocholic acid","cholic acid","glycochenodeoxycholate","glycodeoxycholic acid","taurochenodeoxycholate","taurodeoxycholate"
"QCS-041-3f",1.0324,0.9813,0.0686,0.7328,0.093,0.032,0.001,1.68578536212726,258.924443106796,4.95636058252427,9915.98223514563,697.165941747573,1021.55984466019,98.8805242718446,1771.48947572816,271172.835594291,3171.71444660194,421519.352149864,24365.5864854369,3725.11646601942,21391.2904660194,71151.1498058252,382.296912621359,410.803009708738,261077.201631068,30624.5249514563,59034.8251067961,2572.81231067961,4469.22153398058,494032.864388349,935.287786407767,2.46687378640777,1952.72726660194,24.3261165048544
"QCS-042-1f",0.8087,0.8049,0.2413,1.208,0.3035,0.3521,0.0555,2.39852939802727,392.691908793103,287.066505,51877.3824294828,1434.17343103448,651.039655172414,29809.0370862069,884817.696627621,26438.1727931034,140192.080482759,46333.8229655172,1045582.76784483,4235.65182758621,29448.8357068966,61583.1187241379,840.145379310345,760.925413793103,15681.4157241379,1601.07079310345,14090.0192586207,183.812224137931,4333.79453448276,32341.2162758621,1028.64265517241,1396.81470689655,176.062418448276,3011.94065517241
"QCS-042-2f",0.8112,0.959,0.0845,1.3959,0.1104,0.2179,0.0031,2.79038885098955,144.776112252252,151.47548954955,6169.24328702703,112.228558558559,0.0635855855855856,55931.5343063063,1167441.19745211,614.109585585586,198939.056860865,3371.49850450451,1334854.61445045,1972.48845045045,2423.05590990991,2442.38592792793,10141.7101441441,1208.6983963964,339.864954954955,85.9677117117117,270.302324324324,602.409837837838,1319.27372972973,1168.70306306306,191.265441441441,413.433477477477,28.0526886486487,51.4407387387387
"QCS-042-3f",0.7814,0.9561,0.1066,0.7965,0.1273,0.2917,0.0025,1.1486625451619,33.0045523809524,167.687997142857,1236.63218,64.866380952381,14.116,129479.682190476,413327.628867214,4917.24138095238,223610.270687786,16302.6356190476,349636.683285714,1530.74576190476,1042.8195,2535.9225952381,1377.31828571429,698.069809523809,499.3535,167.459452380952,156.200261904762,68.8155,291.394571428571,1268.84354761905,216.445333333333,11.5112619047619,7.02859166666667,0.168047619047619
"QCS-043-1f",0.4204,0.6301,0.1042,0.2479,0.1388,0.0029,1e-04,7.07582424619905,2800.71042162791,2360.33800139535,450587.548164419,1941.27827906977,22.2409069767442,216107.160561605,3799796.97624698,42876.5293023256,561992.429302326,27253.8104418605,1832769.81811628,5356.0371627907,33294.637744186,55980.527,9386.97586046512,635.384139534884,6905.59644186047,1115.65641860465,3419.92927906977,1013.06920930233,1907.6296744186,6033.85137209302,4774.16251162791,7378.97486046512,92.293198372093,20.6815813953488
"QCS-043-2f",0.5532,0.6195,0.0261,0.0597,0.0288,0.003,2e-04,6.03560341342331,1200.05445510204,5.20923612244898,8802.58347632653,4502.57187755102,3667.56726530612,464.819714285714,2255.39110204082,303377.616100714,790.06387755102,941256.646156469,1109.18630612245,43153.2601836735,331966.476142857,1052891.19397959,6561.41928571429,1206.55789795918,303815.211020408,311195.646387755,325199.870714286,12695.7575510204,28695.0192040816,2341358.11820408,8037.18946938775,2.59273469387755,1393.24703938775,0.144040816326531
"QCS-043-3f",1.2864,1.0988,0.0215,1.8189,0.0187,0.0871,7e-04,4.71514061929882,593.426053,82.8319822,31304.6628926,4236.5645,1021.2926,9139.47478,448209.44046786,62068.33432,44337.86194,825654.82156476,768030.24484,6346.9065,117138.23816,465546.399916,2549.06728,1407.78868,116013.61644,32364.459,182157.66344,7246.8015,17460.29214,1565135.77952,5658.89266,514.8811,563.8833824,356.99364
"QCS-044-1f",0.6665,0.5329,0.3026,0.5504,0.4362,0.2753,0.0024,4.77807597761304,38.1080535416667,652.700313333333,1647.54085270833,15.1452916666667,6.8374375,861050.947040833,3107736.32581025,8437.1773125,322923.148148625,4675.11627083333,452012.259083333,2396.77916666667,1152.2185,4030.70616666667,5938.79235416667,24.9970833333333,246.221270833333,82.3433333333333,110.795895833333,646.174604166667,3871.38652083333,213.578020833333,46.3916458333333,32.8638125,4.34508125,83.0785416666667
"QCS-044-3f",1.4381,0.9397,0.035,0.6114,0.0216,0.0105,2e-04,2.75492232696487,608.151035652174,5.54896891304348,13724.7021784783,3454.04710869565,891.60952173913,798.934913043478,7888.23560869565,43085.7911521739,43709.8871304348,708149.583343565,126343.416782609,10025.4286956522,28296.4426086957,121492.959717391,768.017804347826,1157.05169565217,50557.5280434783,227444.203434783,154647.070826087,16612.6907826087,10127.6929782609,1171785.0405,10701.0020434783,933.4205,1429.47822086957,284.391369565217
"QCS-045-2f",1.1776,2.0272,0.0307,2.5751,0.0291,0.1487,0.0026,0.722095303584186,127.717792790698,14.9104353488372,11445.7878948837,170.623046511628,49.8984186046512,11348.525372093,200787.789534884,8506.4493255814,82576.8765348837,19279.665627907,348476.111255814,2895.66760465116,5285.12888372093,18661.5161395349,1521.49141860465,223.886325581395,2313.4646744186,233.980906976744,319.661744186047,170.212697674419,704.158604651163,6130.28334883721,461.724511627907,2.95451162790698,344.14069372093,42.6762790697674
