Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,Collection_Date,host_subject_id,subject_information
SRR8057678,AMPLICON,350,26358850,PRJNA436359,SAMN10242248,Metagenome or environmental,17112676,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887285,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94673,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94673,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94673_SubjectID_3159,
SRR8057698,AMPLICON,350,22191400,PRJNA436359,SAMN10242641,Metagenome or environmental,14503291,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887265,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94686,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94686,SRP165757,2018-10-15T12:43:00Z,1,2012/2016,G94686_SubjectID_588,
SRR8057699,AMPLICON,350,20854050,PRJNA436359,SAMN10242640,Metagenome or environmental,13686257,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887264,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94685,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94685,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94685_SubjectID_12421,
SRR8057700,AMPLICON,350,23860550,PRJNA436359,SAMN10242639,Metagenome or environmental,15745343,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887263,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94684,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94684,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94684_SubjectID_829,
SRR8057701,AMPLICON,350,11297300,PRJNA436359,SAMN10242299,Metagenome or environmental,7101018,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887262,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94469,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94469,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94469_SubjectID_7850,
SRR8057702,AMPLICON,350,40157600,PRJNA436359,SAMN10242482,Metagenome or environmental,23599850,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887261,USA,North America,USA,Homo sapiens,Illumina MiSeq,G90288,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G90288,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G90288_SubjectID_15102,
SRR8057703,AMPLICON,350,74108650,PRJNA436359,SAMN10242743,Metagenome or environmental,48468347,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887260,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94693,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94693,SRP165757,2018-10-15T12:43:00Z,1,2012/2016,G94693_SubjectID_6184,
SRR8057704,AMPLICON,350,64879500,PRJNA436359,SAMN10242744,Metagenome or environmental,43350318,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887259,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94692,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94692,SRP165757,2018-10-15T12:43:00Z,1,2012/2016,G94692_SubjectID_11789,
SRR8057707,AMPLICON,350,19389300,PRJNA436359,SAMN10242300,Metagenome or environmental,12245078,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887256,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94460,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94460,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94460_SubjectID_11985,
SRR8057708,AMPLICON,350,55864550,PRJNA436359,SAMN10242647,Metagenome or environmental,39117514,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4887255,USA,North America,USA,Homo sapiens,Illumina MiSeq,G94334,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94334,SRP165757,2018-10-15T12:42:00Z,1,2012/2016,G94334_SubjectID_7204,
