Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR18272890,WGS,297,10858747212,PRJNA1196639,SAMN26423096,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3473358639,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case23,mising,SRX14411178,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,GX_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:53:00Z,2,GX_6,SRP551143
SRR18272891,WGS,297,10390296116,PRJNA1196639,SAMN26423095,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3319127689,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case22,mising,SRX14411177,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,GX_12,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:20:00Z,2,GX_12,SRP551143
SRR18272894,WGS,297,9976602286,PRJNA1196639,SAMN26423093,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3185033482,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case20,mising,SRX14411174,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,DWJ_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:18:00Z,2,DWJ_6,SRP551143
SRR18272895,WGS,297,10897947530,PRJNA1196639,SAMN26423092,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3461511134,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case19,mising,SRX14411173,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,DSM_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:20:00Z,2,DSM_6,SRP551143
SRR18272896,WGS,297,10679638674,PRJNA1196639,SAMN26423091,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3405837839,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case18,mising,SRX14411172,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,DSM_12,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T06:58:00Z,2,DSM_12,SRP551143
SRR18272900,WGS,297,10533763065,PRJNA1196639,SAMN26423227,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3441534174,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case154,mising,SRX14411168,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,ZYL_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:21:00Z,2,ZYL_6,SRP551143
SRR18272901,WGS,298,10576688824,PRJNA1196639,SAMN26423226,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3437093223,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case153,mising,SRX14411167,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,ZYD_0,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:34:00Z,2,ZYD_0,SRP551143
SRR18272903,WGS,297,9880595294,PRJNA1196639,SAMN26423224,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3269402946,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case151,mising,SRX14411165,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,ZX_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T08:02:00Z,2,ZX_6,SRP551143
SRR18272907,WGS,297,10496043002,PRJNA1196639,SAMN26423221,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3370435281,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case148,mising,SRX14411161,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,ZSR_6,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:49:00Z,2,ZSR_6,SRP551143
SRR18272908,WGS,297,10482917310,PRJNA1196639,SAMN26423220,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3362556548,CHINA,not collected,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",mising,Case147,mising,SRX14411160,uncalculated,uncalculated,not collected,Homo sapiens,Illumina NovaSeq 6000,missing,ZSR_12,PAIRED,RANDOM PCR,METAGENOMIC,human metagenome,ILLUMINA,2022-06-01T00:00:00Z,2024-12-14T07:28:00Z,2,ZSR_12,SRP551143
