"","(1E,4Z,6E)-5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one","(2S)-2-[[(2S)-2-azaniumyl-4-methylpentanoyl]amino]-3-phenylpropanoate","(7r)-4,7-Dihydroxy-N,N,N-Trimethyl-10-Oxo-3,5,9-Trioxa-4-Phosphaheptacosan-1-Aminium 4-Oxide","(R)-(+)-Atenolol","(R)-Baclofen","(R,S)-ANATABINE","1,5-isoquinolinediol","1-Isomangostin","1-O-palmitoyl-sn-glycero-3-phosphocholine","1-Oleoylglycerophosphocholine","1-Palmitoylglycerophosphocholine","1-oxo-1,2-dihydroisoquinoline-3-carboxylic acid","1-phenyl-1H-pyrazole-5-carboxylic acid","1453-93-6","15861-40-2","2,3-Diaminonaphthalene","2,3-Diaminonaphthalene (Chimeric precursor selection)","2,6-DIMETHYLQUINOLINE","2-(1H-imidazol-2-yl)benzoic acid","2-Amino-1-phenylethanol","2-methyl-3-(pyridin-2-yl)benzoic acid","2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxylic acid","2-phenyloxazole-5-carboxylic acid","2227803-25-8","23012-16-0","2971-31-5","3-(2-aminocyclohexyl)propanoic acid","3-Acetamidobenzoic acid","3-Acetamidophenol","3-Cyclopropylquinoline-2-carboxylic acid","3-isomangostin","34014-51-2","4-Aminoquinoline-2-carboxylic acid","4-hydroxyisoquinoline-3-carboxylic acid","4-methyl-2-propyl-1,3-oxazole-5-carboxylic acid","4-methylquinoline-6-carboxylic Acid","5-methyl-1-(4-methylphenyl)-1H-pyrazole-4-carboxylic acid","5-methyl-2-(3-methylphenyl)-1H-imidazole-4-carboxylic acid","76474-56-1","8-Aminooctanoic acid","8-HYDROXYQUINOLINE","8-HYDROXYQUINOLINE (Chimeric precursor selection)","8-methylquinoline-5-carboxylic acid","883715-21-7","890-38-0","961-07-9","98483-00-2","Ala-phe","BEPHENIUM","Benzododecinium","Bisdemethoxycurcumin","Butylscopolamine","CHEMBL5028245","CID 6993119","Cer 18:1;2O/16:0","Cer 18:5;2O/9:0;O","Cer 27:5;3O","Cer 34:1;2O","Columbamine","Cratoxyarborenone E","Cratoxylone","D-Tryptophan","D-phenylalanine","D-tyrosine","DL-Tryptophan","Demethoxycurcumin","Fendizoic acid","Feruloylputrescine","GARCINONE D","GLYCOCHENODEOXYCHOLIC ACID","Garcinone C","Glycitein","Glycocholic acid","Glycoursodeoxycholic acid","H-ILE-TRP-OH","H-gamma-glu-phe-oh","Hispidol","INDOLE-3-CARBOXALDEHYDE","INDOLE-3-CARBOXALDEHYDE (Chimeric precursor selection)","Indolizine-1-carboxylic acid","Jatrorrhizine","Jineol","L-phenylalanine","L-tryptophan","L-tyrosine","LETESTUIANIN B","LEVOFLOXACIN","LPC 16:0","LPC 16:1","LPC 18:0","LPC 18:1","LPC 18:2","LPC 18:3","LPE 16:0","LPE 18:0","Levocetirizine","METHYL NICOTINATE","Moxacin","N-(5-acetamidopentyl)acetamide","N-Valylphenylalanine","NCGC00024645-01","NCGC00380823-01!2-(14-methylpentadecanoylamino)-3-phenylpropanoic acid","NCIOpen2_005816","Oleamide","PAF C-16-d4","Phe-ala","Piperolein B","Robinetin","SCHEMBL3706","SCHEMBL424527","SPB 18:0;2O","SPB 18:1;2O","Solanidine","Sulfachloropyridazine","TAUROCHENODEOXYCHOLIC ACID","TAUROCHOLIC ACID","TAURODEOXYCHOLIC ACID","Tauroursodeoxycholic acid","Tert-butyl N-[2-(1H-indol-3-yl)-1-(methylcarbamoyl)ethyl]carbamate","UFIPRAZOLE","VORTIOXETINE","Val-Tyr","Vidarabine","Z2961795382","abacavir","amitriptyline","amoxicillin","aspartame","atenolol","atorvastatin","baclofen","berberine","celecoxib","cetirizine","cholic acid","ciprofloxacin","curcumin","daidzein","diphenhydramine","diprotin A","doxepin","doxycycline","enoxolone","famotidine","fluconazole","gabapentin","gamma-Mangostin","genistein","glycodeoxycholic acid","hydroxyzine","lisinopril","loperamide","m-Tyramine","metoprolol","minocycline","minocycline zwitterion","montelukast","mycophenolic acid","naringenin chalcone","nortriptyline","octopamine","ofloxacin","piperine","protriptyline","ranitidine","sertraline","sphingosine","sulfadimethoxine","sulfamethazine","sulfamethizole","sulfapyridine","trans-Zeatin","trazodone","trimethoprim","tryptamine","tyramine","tyramine (Chimeric precursor selection)","valsartan","sample_clean"
"PLCL18800",0,0,3201,0,0,0,623,5040,4804,34970,7206,0,0,0,1821,0,0,0,0,856,5316,0,0,0,0,0,0,0,9000,4674,2520,0,0,0,6608,0,0,0,0,854,607,1214,0,8322,10312,0,8056,0,0,215040,24940,0,0,0,548,0,9677,548,0,2520,2520,0,0,1839,0,5080,2184,14270,0,0,0,8028,0,0,2754,5967,0,607,607,1869,0,3738,0,0,4291,0,0,1201,0,1067,3497,0,0,0,3861,0,0,6468,0,0,0,0,0,0,7469,0,0,0,0,0,0,0,4204,162000,0,0,0,0,22032,0,0,5758,0,0,0,0,25872,13923,0,6224,0,0,0,0,28404,12600,0,0,0,0,11922,0,0,0,0,7590,0,0,0,0,0,37480,3200,0,0,0,0,0,0,0,13542,0,0,0,25760,44920,0,0,0,647400,0,3712,0,7420,0,3200,1600,0,"PLCL18800"
"PLCL18813",0,7518,2586,0,0,0,0,5456,0,0,0,0,0,0,0,0,0,0,0,685,0,0,0,0,0,0,0,0,0,0,2728,0,0,0,0,0,0,0,4362,0,0,0,0,10446,6096,0,3004,0,0,6384,20610,0,0,0,0,0,8261,0,4560,2728,2728,0,1298,0,0,0,0,0,0,0,0,0,0,0,836,3522,0,0,0,0,6840,0,5192,0,0,2908,0,0,0,862,0,0,0,0,4639,0,0,3182,0,0,0,0,0,0,6034,0,0,0,0,0,0,0,0,0,0,0,0,0,6688,0,0,4636,0,0,0,0,12728,8218,0,8512,0,0,0,0,21932,0,0,0,0,0,0,0,0,0,0,7700,0,0,0,0,0,34120,0,0,0,0,4320,0,0,0,9186,0,0,0,7540,26050,0,0,0,0,0,2184,0,7530,0,0,0,0,"PLCL18813"
"PLCL18816",0,0,3315,0,0,0,0,6200,3124,14520,4686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,0,0,0,0,0,0,0,0,0,0,0,0,7424,3972,0,0,0,0,147840,30080,0,0,0,615,0,0,615,0,3100,3100,0,0,0,0,0,0,0,0,0,0,0,14917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,0,1105,1452,0,0,0,2985,0,0,1596,0,0,0,0,0,0,7735,0,0,0,0,0,0,0,0,0,8517,0,5678,14195,0,0,0,1356,0,0,0,0,6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4264,0,0,8340,0,0,0,54440,0,0,2632,0,0,0,0,0,0,0,0,0,0,0,0,23590,0,0,0,0,0,0,0,0,0,2632,1316,0,"PLCL18816"
"PLCL18818",0,13860,2526,0,0,0,0,4472,76280,16050,114420,0,0,5604,0,0,0,0,0,1047,4332,0,0,0,0,0,0,0,12470,722,2236,0,0,0,0,0,0,0,18006,926,0,0,0,10350,21276,0,3850,0,0,116280,62930,0,0,0,640,0,16900,640,0,2236,2236,0,0,2712,0,31610,0,6480,0,0,0,4158,0,0,4450,4968,3176,0,0,0,0,0,0,0,6328,12004,0,19070,0,842,1605,0,0,0,4602,0,0,8388,0,0,0,0,0,0,5894,0,0,0,0,0,0,0,0,0,0,0,0,0,35600,0,0,7820,0,0,0,0,33552,11592,0,4336,0,8230,0,0,2324,15632,0,4764,0,0,0,8560,0,0,0,16640,0,0,0,0,0,16360,0,0,0,0,0,27770,0,0,11028,0,0,0,8970,53810,0,0,0,0,0,3812,15790,5630,0,0,0,0,"PLCL18818"
"PLCL18823",0,11970,3012,0,0,0,0,5660,4032,17860,6048,0,0,0,0,0,0,0,0,1494,0,0,0,0,0,0,0,0,7380,0,2830,0,0,0,0,0,0,0,5940,0,0,0,0,7508,20308,0,2588,0,0,121020,31510,0,0,0,857,0,41500,857,9700,2830,2830,0,0,2055,0,15750,0,0,0,0,0,0,0,0,847,0,2612,0,0,0,14550,0,0,0,4795,3960,0,1008,0,1004,1786,0,0,0,3096,0,0,4580,0,0,0,0,0,0,7028,0,0,0,0,0,0,0,0,0,0,0,0,0,6776,0,0,9086,0,0,0,0,18320,0,0,7520,0,9990,1786,0,7616,9072,0,3918,0,0,0,6320,14932,0,0,6190,0,0,0,0,0,25290,0,0,0,0,0,22520,0,0,17898,0,0,0,11430,51830,0,0,0,0,0,3740,13020,0,0,0,0,0,"PLCL18823"
"PLCL18824",0,36274,3267,0,0,0,0,6208,4196,15810,6294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7640,0,3104,0,0,0,0,0,0,0,0,742,0,0,0,7612,15452,4744,2862,0,0,145800,41980,0,0,0,616,0,9875,616,9812,3104,3104,0,0,0,0,14750,0,11490,0,0,0,0,11053,0,0,4056,0,0,0,0,14718,0,0,0,0,0,0,1049,0,1089,1581,0,0,0,3044,0,0,6166,0,0,0,0,0,0,7623,0,0,0,0,0,0,0,0,0,4896,0,3264,8160,0,0,0,5034,4744,0,0,0,24664,9464,0,19344,0,0,0,0,4236,7096,0,0,0,0,2990,0,13228,0,0,6840,0,0,0,36150,0,15270,3060,0,0,0,0,0,13150,0,14310,0,0,0,8230,53900,0,0,0,0,0,2220,0,0,0,3060,1530,0,"PLCL18824"
"PLCL18827",0,31920,2583,0,0,0,0,5216,8664,20470,12996,0,0,2472,0,0,0,0,0,962,0,0,0,0,0,0,0,0,5370,3420,2608,0,0,0,0,0,0,0,0,0,0,0,0,7158,21332,0,2272,0,0,112500,22160,0,0,0,758,0,8626,758,0,2608,2608,0,0,0,0,8730,0,0,0,0,0,0,5152,0,750,2286,0,0,0,0,0,0,0,0,0,0,0,2166,0,861,2047,0,0,0,4936,0,0,2658,0,0,0,0,0,0,6027,0,0,0,0,0,2307,0,0,0,1815,0,1210,3025,6000,0,0,2438,0,0,0,0,10632,5334,0,12144,0,0,0,0,6944,0,0,0,0,0,0,5140,3588,0,0,10650,0,0,0,145400,0,6710,0,0,0,0,0,0,0,0,7878,0,0,0,0,7720,0,0,0,0,0,0,0,0,0,0,0,0,"PLCL18827"
"PLCL18832",0,0,3123,0,0,0,0,6860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430,0,0,0,0,0,0,0,0,0,0,0,0,8310,4172,0,0,3300,0,28974,32660,0,0,0,697,0,6101,697,0,3430,3430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,3590,0,0,2776,0,0,0,0,0,0,7287,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,0,0,0,0,11104,0,0,0,0,0,0,0,0,4624,0,0,0,0,0,0,0,0,0,8980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5682,0,0,0,0,17930,0,0,0,0,0,0,0,0,0,0,0,0,"PLCL18832"
"PLCL18839",0,15834,3789,0,0,0,0,6112,3260,0,4890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3056,0,0,0,0,0,0,0,0,511,0,0,0,7070,76040,0,4186,2550,0,44478,37900,0,0,0,561,0,12410,561,0,3056,3056,0,0,0,0,10970,0,0,0,0,0,0,0,0,0,3492,0,0,0,0,0,0,0,0,0,0,0,815,0,1263,0,0,0,0,3253,0,0,5324,0,0,0,0,0,0,8841,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3430,0,0,0,0,21296,8148,0,0,0,0,0,0,4168,0,0,0,0,0,0,0,0,0,0,6880,0,0,0,0,0,20640,4672,0,0,0,0,0,0,0,7398,0,0,0,0,131800,0,0,0,0,0,2268,0,0,0,4672,2336,0,"PLCL18839"
"PLCL18850",0,0,3096,0,0,0,0,4060,3344,0,5016,0,0,9432,0,0,0,0,0,0,3444,0,0,0,0,0,0,0,7680,10410,2030,0,0,0,0,0,0,0,7848,559,0,0,0,7782,23736,5700,6200,0,0,58764,34640,0,0,0,655,0,15480,655,0,2030,2030,0,0,2169,0,10960,0,7370,0,0,2284,4032,0,0,1748,4530,0,0,0,0,0,0,0,0,5061,5232,4808,836,0,1032,0,0,0,0,5877,0,0,5620,0,0,0,0,0,0,7224,0,0,0,0,0,0,0,0,9310,0,0,0,0,13984,0,0,4978,5700,0,0,0,22480,10570,0,12992,0,0,0,0,13264,7840,0,0,0,0,0,0,0,0,0,6910,3426,0,0,0,0,30120,4296,0,0,0,0,7650,0,0,16344,1202,0,0,14820,74130,0,0,0,299900,0,3688,0,13880,0,4296,2148,0,"PLCL18850"
"PLCL18852",0,5796,2916,0,0,0,890,5600,5504,19580,8256,0,0,3822,0,0,0,0,0,521,0,0,0,0,0,0,0,0,5780,0,2800,0,0,0,0,0,0,0,6096,0,0,0,0,8878,16060,0,5644,0,0,114120,25170,0,0,0,739,0,10800,739,13068,2800,2800,0,0,0,0,5960,0,0,0,0,0,0,0,0,0,1911,0,0,0,2670,19602,5340,0,0,0,4064,0,1376,0,972,1958,0,0,0,3449,0,0,5590,0,0,0,0,0,0,6804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9106,0,0,0,0,22360,4459,0,0,0,0,0,0,7692,6264,0,0,0,0,0,0,0,0,0,7090,0,0,0,0,0,43780,0,0,0,0,0,0,0,0,16212,0,0,0,0,31400,0,0,0,0,0,4332,0,0,0,0,0,0,"PLCL18852"
"PLCL18857",0,0,3897,1232,0,0,0,5384,3264,22100,4896,0,0,0,0,0,0,0,0,1248,5502,0,0,0,0,0,0,0,9560,5617,2692,0,0,0,4336,0,0,0,5616,1041,0,0,0,6664,9536,3520,2322,0,0,152700,32210,0,0,0,532,0,113600,532,18744,2692,5400,0,0,0,0,14770,0,6800,4062,0,2676,18252,0,0,2158,4293,0,0,0,0,28116,0,0,0,0,3744,4024,816,0,1299,2210,0,0,0,2969,0,0,7820,0,0,0,0,0,0,9093,0,0,0,0,0,0,0,0,6090,0,0,0,0,17264,0,0,5580,3520,0,0,0,31280,10017,4928,0,0,0,0,0,10384,13472,0,0,0,0,0,0,0,0,0,7010,4014,0,0,0,0,20800,0,0,0,0,0,6720,0,0,15714,1006,0,0,5170,53410,0,0,0,153700,0,6200,5770,0,0,0,0,0,"PLCL18857"
"PLCL18864",0,0,3135,0,0,0,0,5640,0,0,0,0,0,14490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112,2820,0,0,0,0,0,0,0,0,0,11254,33762,0,6038,3544,2784,1300,0,0,22860,31620,0,0,0,677,0,31080,677,6220,2820,2820,0,0,0,0,0,0,0,0,0,7336,16566,0,0,0,0,0,0,0,0,9330,0,0,0,0,0,0,0,0,1045,0,0,0,0,3377,0,0,4506,0,0,0,0,0,0,7315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1754,2784,0,0,0,18024,0,0,5080,0,0,0,0,18240,6264,0,0,0,0,0,0,0,0,0,6760,11004,0,0,0,0,24240,0,0,0,0,7600,7030,0,0,6240,0,0,0,0,119300,0,0,0,40260,0,5276,5280,5140,0,0,0,0,"PLCL18864"
"PLCL18867",0,6916,2874,2542,0,0,0,5500,7716,30810,11574,10641,0,0,0,0,0,0,0,1722,6576,0,7094,0,7094,0,0,0,21750,1096,2750,3547,0,7094,6824,0,0,0,10668,873,0,0,0,8244,16844,2124,8400,2845,0,155580,32730,0,0,0,0,0,5046,0,5860,2750,5346,0,0,7896,0,77760,0,8310,3894,0,0,0,0,0,0,15069,0,0,0,0,8790,0,0,0,18424,7112,0,1929,0,958,3081,0,1165,0,4048,0,0,3888,0,0,0,0,0,0,6706,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23560,2124,0,0,0,15552,35161,10168,0,0,0,0,0,2280,15600,0,0,0,0,1774,0,0,0,0,8580,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,10998,0,0,0,26720,0,0,0,0,0,0,5980,0,6120,0,5000,2500,0,"PLCL18867"
"PLCL18870",0,4081,3504,0,0,0,0,5252,0,0,0,0,0,6018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2626,0,0,0,0,0,0,0,0,0,0,0,0,8010,5968,9028,4056,3225,543,40350,23920,0,0,0,516,0,6189,516,0,2626,2626,0,0,0,0,20470,0,0,0,0,0,8322,0,0,6650,2724,2432,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,0,0,0,4561,0,0,3178,0,0,8880,0,0,0,8176,1290,0,0,0,0,0,0,0,0,0,0,0,0,53200,0,0,1540,9028,0,0,0,12712,6356,0,4168,0,12440,0,0,3288,0,0,3648,4887,0,0,6460,0,0,0,7150,0,0,0,12850,0,0,17764,0,0,0,0,61330,0,0,4818,0,0,0,0,8380,0,0,0,0,0,2148,16870,0,0,17764,8882,0,"PLCL18870"
"PLCL18880",0,0,2877,0,0,0,0,4436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2218,0,0,0,0,0,0,0,0,0,0,0,0,7682,0,0,0,3585,0,13956,41060,0,0,0,595,0,2015,595,0,2218,2218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,0,0,0,0,2505,0,0,0,0,0,0,0,0,0,6713,1434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6556,0,0,0,0,0,0,0,0,0,0,8340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLCL18880"
"PLCL18881",0,0,3411,0,0,11116,0,4096,3826,16440,10044,1512,3510,0,97140,0,0,9340,12285,7798,0,2166,1008,0,1008,5054,0,0,0,0,2048,504,1755,1008,0,0,0,0,0,0,32380,64760,0,8484,11028,0,4496,16775,515,115860,32670,0,0,0,633,0,0,633,0,2048,2048,0,0,2373,0,25570,0,0,0,0,0,0,3864,0,2496,7503,0,32380,32380,0,0,0,0,0,5537,0,0,1387,0,1137,1644,0,3654,0,4401,0,0,1500,0,0,0,0,0,0,7959,6710,0,0,0,0,0,0,0,0,0,0,0,0,19968,0,0,5236,0,0,93210,0,6000,10157,0,12616,0,8280,0,0,0,6272,0,0,4635,33552,2132,0,0,0,0,5470,0,0,0,12620,0,0,2880,0,0,0,0,12060,0,0,4992,0,0,0,9120,40580,0,0,0,0,45060,0,8710,0,16674,2880,1440,0,"PLCL18881"
"PLCL18883",0,0,2964,0,0,2664,0,4672,2436,8210,3654,0,0,7596,0,0,0,3265,0,12550,3918,0,0,2676,0,0,0,0,5940,5481,2336,0,0,0,4560,0,1338,1338,0,0,0,0,0,10388,22200,6588,1818,0,0,58860,19580,0,0,0,556,0,6793,556,4612,2336,2336,0,4112,1848,0,6890,0,9070,0,0,3292,23742,0,0,1030,5163,0,0,0,0,6918,0,16448,0,4312,0,4632,609,0,988,821,0,0,19170,4669,0,0,5678,0,0,0,0,0,0,6916,0,0,0,0,0,0,0,0,0,0,0,0,0,8240,0,0,2438,6588,0,41980,0,22712,12047,0,10216,0,0,0,0,9764,8048,0,0,0,0,0,0,0,0,0,8130,4938,0,0,0,0,39700,0,0,0,0,0,0,0,0,9684,1158,0,0,16930,20530,0,0,0,77040,521600,5844,0,6300,3996,0,0,0,"PLCL18883"
"PLCL18886",0,4438,3024,1276,0,0,0,5888,23616,34700,35424,4560,0,0,0,0,0,0,0,654,6180,0,3040,0,3040,0,0,0,24900,1030,2944,1520,0,3040,8168,0,0,0,3534,837,0,0,0,8154,40040,3008,4894,0,0,266280,46880,0,0,0,611,0,13770,611,5112,2944,2944,0,0,10047,0,31080,0,10350,0,0,0,0,3626,0,0,6660,0,0,0,0,7668,0,0,0,23443,2356,0,5904,0,1008,3470,0,0,0,4201,0,0,4400,0,0,0,0,0,0,7056,0,0,0,0,0,0,0,0,0,3768,0,2512,6280,0,0,0,12556,3008,0,0,0,17600,15540,5104,8000,0,0,0,0,6724,14472,0,0,0,0,0,0,0,0,0,7450,0,0,0,68990,0,0,0,0,0,0,5872,0,0,0,18300,0,0,0,10640,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLCL18886"
"PLCL18887",0,0,3264,1718,0,6188,0,5976,0,8280,0,0,0,0,0,0,0,4425,0,21560,6114,0,0,2984,0,0,0,0,10140,1019,2988,0,0,0,6352,0,1492,1492,0,575,0,0,0,8360,5404,6960,2210,2730,0,79080,26460,0,0,0,585,0,1844,585,0,2988,2988,0,0,1572,0,5100,0,9820,0,0,0,0,0,0,1167,9273,0,0,0,0,0,0,0,0,3668,0,0,0,0,1088,828,0,0,15440,4069,0,0,3754,0,0,0,0,0,0,7616,1092,0,0,0,0,0,0,0,0,0,0,0,0,9336,0,0,9448,6960,0,40300,0,15016,21637,6872,0,0,5940,0,0,11228,9648,0,0,0,0,0,0,0,0,0,5960,0,0,0,0,0,0,20636,0,0,0,0,6520,0,0,28734,0,0,0,17610,44060,0,0,0,0,146200,3508,0,0,9282,20636,10318,0,"PLCL18887"
"PLCL18890",0,5390,4206,0,0,0,0,5808,5368,9870,8052,0,0,0,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,2904,0,0,0,0,0,0,0,6666,0,0,0,0,0,23984,0,2992,3270,0,72840,53640,0,0,0,541,0,19760,541,15812,2904,2904,0,0,0,0,7560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23718,0,0,0,0,4444,0,1342,0,1402,987,0,0,0,3378,0,0,2760,0,0,0,0,0,0,9814,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3450,0,0,0,0,11040,0,0,12768,0,0,1374,0,19908,0,0,0,0,0,0,0,6696,0,0,7530,0,0,0,11340,0,29970,4044,0,0,0,4976,0,0,0,6114,0,0,0,7690,34520,0,0,0,0,0,2864,0,0,0,4044,2022,0,"PLCL18890"
"PLCL18891",0,0,3699,0,0,0,0,6020,2732,43790,4098,0,0,12312,3360,0,0,0,0,3088,0,0,0,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0,0,0,1120,2240,0,6092,0,0,0,0,0,531240,16700,0,0,0,589,0,0,589,2804,3010,3010,0,0,0,0,48870,0,0,0,0,0,0,7427,0,0,4362,0,1120,1120,0,4206,0,0,0,0,0,0,683,0,1233,4379,576,957,0,3191,0,0,2574,0,0,0,0,0,0,8631,0,0,0,0,0,0,0,0,0,2964,0,1976,4940,0,0,0,2740,0,0,0,0,10296,10178,0,0,0,0,0,0,0,0,0,0,0,0,10298,0,2316,0,0,5700,0,0,0,31810,0,0,245240,0,0,0,0,0,0,0,0,0,0,0,0,11560,0,0,0,0,0,3876,0,0,0,245240,122620,0,"PLCL18891"
"PLCL18893",0,0,3075,0,0,0,0,4484,0,11260,0,0,0,58606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2242,0,0,0,0,0,0,0,0,0,0,0,0,9030,7576,2244,2960,2530,0,89520,22150,0,0,0,530,0,37110,530,4380,2242,2242,3510,0,0,3510,7180,0,5480,0,0,2024,7830,0,0,3055,1638,0,0,0,0,6570,0,0,4680,0,0,0,0,1277,1025,1126,0,0,0,6543,0,0,8632,0,0,0,0,0,0,7175,1012,0,0,0,0,0,0,0,0,0,0,0,0,24440,0,0,2660,2244,0,0,0,34528,3822,0,6528,0,0,0,0,86800,7584,0,0,0,0,0,0,0,0,0,7020,3036,0,0,0,0,5180,0,0,0,0,0,0,0,0,7704,0,0,0,8980,58900,0,0,0,0,0,5344,0,6150,0,0,0,0,"PLCL18893"
"PLCL18894",0,25291,2955,0,0,8020,0,7512,8364,0,12546,0,0,0,0,0,0,3135,0,14170,3360,0,0,3536,0,0,0,0,9350,560,5546,0,0,0,5656,0,1768,1768,0,0,0,0,0,8604,3944,0,3738,2940,0,49080,39690,0,0,0,584,0,102200,584,21128,4114,3398,0,0,0,0,13740,0,8490,0,0,4640,9120,0,0,674,4971,2872,0,0,0,31692,0,0,0,0,0,0,2091,0,985,0,0,0,21940,3710,0,0,6612,0,0,0,0,0,0,6895,1176,0,0,0,0,0,0,0,0,0,0,0,0,5392,0,0,0,0,0,52230,0,26448,11599,0,0,0,0,0,0,247720,12272,0,4308,0,0,0,0,0,0,0,7040,6960,0,0,0,0,22290,0,0,0,0,7584,0,0,0,7458,0,0,0,12990,103500,0,0,0,0,732900,5396,0,10680,12030,0,0,0,"PLCL18894"
"PLCL18904",1650,0,3066,0,0,0,1119,4924,5168,12220,7752,0,0,0,4935,0,0,0,0,0,0,0,0,0,0,0,0,0,5240,4308,2462,0,0,0,0,0,0,0,0,0,1645,3290,0,6690,14772,2956,0,2660,0,107700,32050,0,0,0,552,0,5510,552,16040,2462,2462,2295,0,2859,2295,10290,0,0,0,0,0,0,11893,0,0,0,0,1645,1645,3357,24060,6714,0,3060,6671,0,0,1292,0,1022,1222,0,0,0,3573,5964,0,6016,0,0,0,0,0,0,7154,1064,0,0,0,0,0,0,0,0,2823,0,1882,4705,0,0,0,3016,2956,0,0,0,24064,0,0,6872,0,0,1272,2556,10376,4448,3850,0,0,0,37460,0,10528,0,0,5940,0,0,0,563600,0,14180,45840,0,0,0,0,7590,0,0,5496,0,0,0,12230,124500,0,0,0,0,0,2896,5070,0,0,45840,22920,0,"PLCL18904"
"PLCL18906",0,5285,3084,0,0,0,2524,5580,5204,11240,7806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7820,2790,0,0,0,0,0,0,0,0,0,0,0,0,8484,4528,0,0,2665,0,106020,32060,0,0,0,614,0,37080,614,10340,2790,2790,0,0,1647,0,15540,0,0,0,0,0,0,8785,0,0,1815,0,0,0,7572,15510,15144,0,0,3843,0,0,1301,0,1028,1124,0,0,0,3924,0,0,4416,0,0,0,0,0,0,7196,1066,0,0,0,0,0,0,0,0,1806,0,1204,3010,0,6170,0,2244,0,0,0,0,201864,4235,0,0,0,0,0,0,14040,0,0,0,0,0,0,0,0,0,0,7020,0,0,0,27760,0,8660,0,0,0,0,0,0,34250,0,5142,0,0,0,10420,18410,0,0,0,0,0,7296,0,0,0,0,0,0,"PLCL18906"
"PLCL18909",0,0,3630,0,0,0,0,5092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2546,0,0,0,0,0,0,0,0,0,0,0,0,5478,0,0,0,0,0,13410,37900,0,0,0,616,0,4160,616,0,2546,2546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,0,0,0,0,2428,0,0,0,0,0,0,0,0,0,8470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,5584,0,0,0,0,0,0,0,0,0,0,7600,0,0,0,0,0,5890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLCL18909"
"PLCL18911",7977,0,3579,0,0,0,0,5528,7180,0,18950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2764,0,0,0,0,0,0,0,15564,0,0,0,0,8232,5928,0,0,0,0,22008,37330,0,0,0,0,0,0,0,0,2764,2764,0,0,0,0,352030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10376,0,2613,0,1193,0,0,0,0,3299,27874,0,0,0,0,0,0,0,0,8351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1338,0,0,0,0,0,0,0,0,0,0,0,11946,0,0,18613,0,0,0,0,0,0,5120,0,7710,0,0,0,0,0,0,0,0,0,0,0,5750,0,0,0,0,0,0,5910,10580,0,0,62680,0,25280,0,0,7700,0,0,0,0,"PLCL18911"
