Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,rel_to_oxygen,ReleaseDate,create_date,version,samp_collect_device,Sample Name,SRA Study
SRR33980705,AMPLICON,446,91972559,PRJNA1276713,SAMN49082419,Metagenome or environmental,27771535,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179109,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 302,20.044923 N 99.894760 E,BH302,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH302,SRP592103
SRR33980706,AMPLICON,446,94287488,PRJNA1276713,SAMN49082418,Metagenome or environmental,29522622,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179108,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 301,20.044923 N 99.894760 E,BH301,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH301,SRP592103
SRR33980707,AMPLICON,446,90771957,PRJNA1276713,SAMN49082382,Metagenome or environmental,28962175,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179107,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 212,20.044923 N 99.894760 E,BH212,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH212,SRP592103
SRR33980708,AMPLICON,446,91816258,PRJNA1276713,SAMN49082417,Metagenome or environmental,29464359,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179106,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 300,20.044923 N 99.894760 E,BH300,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH300,SRP592103
SRR33980709,AMPLICON,446,91883181,PRJNA1276713,SAMN49082416,Metagenome or environmental,27925085,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179105,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 299,20.044923 N 99.894760 E,BH299,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH299,SRP592103
SRR33980710,AMPLICON,446,91786769,PRJNA1276713,SAMN49082415,Metagenome or environmental,29827746,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179104,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 298,20.044923 N 99.894760 E,BH298,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH298,SRP592103
SRR33980711,AMPLICON,446,90849879,PRJNA1276713,SAMN49082414,Metagenome or environmental,28799061,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179103,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 294,20.044923 N 99.894760 E,BH294,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH294,SRP592103
SRR33980712,AMPLICON,446,90452235,PRJNA1276713,SAMN49082413,Metagenome or environmental,28606244,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179102,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 291,20.044923 N 99.894760 E,BH291,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH291,SRP592103
SRR33980713,AMPLICON,446,92227098,PRJNA1276713,SAMN49082412,Metagenome or environmental,29408935,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179101,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 290,20.044923 N 99.894760 E,BH290,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH290,SRP592103
SRR33980714,AMPLICON,446,92061185,PRJNA1276713,SAMN49082411,Metagenome or environmental,29420145,MAE FAH LUANG UNIVERSITY,2021-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX29179100,Thailand,Asia,Thailand: Chiang Rai,Homo sapiens,Illumina NovaSeq X Plus,Stool sample 288,20.044923 N 99.894760 E,BH288,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,anaerobe,2025-06-14T00:00:00Z,2025-06-14T05:35:00Z,1,stool collection container,BH288,SRP592103
