"","3-oxo-Δ4,6-LCA","3-oxo-Δ4-LCA","3-oxoalloLCA","3-oxoLCA","7-oxoCA","3-oxo-Δ4-CDCA","7-oxoCDCA","βMCA","12-oxoDCA","3-oxoDCA","CDCA","MDCA","DCA","alloCDCA","3-oxoCA","UCA","CA","isoCA","TLCA","Δ5-3b-ol","isoalloLCA","isoLCA","LCA","alloLCA","3-oxoCDCA","isoDCA","isoCDCA","GDCA","GCDCA","UDCA","HDCA","ωMCA","αMCA","HCA","LCA-3S","GCA","UDCA-3S","CDCA-3S","DCA-3S","CA-3S","TUDCA","TCDCA","TDCA","T-βMCA","TCA","TLCA-3S","TCA-3S"
"CE102-2",4.029743613,"2.904844989",NA,268.7056455,33.27068857,NA,86.74924993,NA,723.4464483,244.0622625,131.9554532,3.287990218,"6647.065442",NA,4.932526124,"97.11197097",85.74419871,12.01306484,NA,13.71277807,"127.3028534",748.1220932,4367.686526,55.82480134,16.30031364,239.3994223,35.55278571,13.2932695,22.86747058,95.59722476,15.36540961,NA,NA,0.758784175,34.62679918,9.356694138,5.371756389,"5.342296562",15.13675904,1.30672082,0.224987497,1.578796296,0.440863839,NA,0.309795268,0.368409948,NA
"CE103",2.551295557,"0.37278416",NA,109.230866,1.909303201,NA,NA,NA,652.0554552,156.3744074,14.90525492,NA,"5345.693853",NA,NA,NA,4.119868257,NA,NA,3.42839125,"86.16753442",406.9824876,2128.556157,32.19898341,4.301464945,197.3874922,23.41497577,4.335210098,3.162052351,2.339173876,10.09656552,NA,NA,NA,0.264423402,1.288251732,NA,"0.04380194",0.156927379,NA,NA,0.187194346,0.171746927,NA,0.204315615,NA,NA
"CE104",1.799271594,"2.481174435",24.39829617,549.0315546,6.327944456,NA,12.87593484,NA,578.6105195,218.130231,42.64618082,3.723041653,"5945.127751",8.385743274,0.512261326,"3.340106177",10.92643401,NA,NA,3.010708792,"227.858839",870.2202012,5227.999177,87.04819515,9.542724936,145.5803685,16.70174188,49.74460429,23.64631168,3.740966808,16.14195577,0.586312114,NA,0.408217135,28.42576937,4.947996519,NA,"0.686833721",3.080808635,NA,NA,0.346458787,0.450249307,NA,NA,0.257620823,NA
"CE105",1.952739043,"4.799824374",115.005935,1168.663222,NA,NA,5.519740802,NA,2046.64062,654.1233804,15.13484763,4.707966949,"6355.917475",NA,NA,"1.598094557",6.032722016,NA,NA,5.073507263,"321.9367146",751.5236236,2948.307924,74.5419922,13.17252705,248.7678795,26.49553575,27.76748026,8.739484331,2.608728313,13.42977228,0.146189203,NA,NA,5.573933568,3.305551964,NA,"0.162992504",3.283537411,0.176324818,NA,1.130074566,1.776203309,NA,0.57752108,0.11319144,NA
"CE106",2.449131375,"4.264248866",32.04157261,1102.551165,14.98087761,NA,75.11039134,NA,2082.744749,520.3459948,71.60925112,31.63671542,"12305.02036",NA,1.361850275,"8.539211728",24.20308558,NA,NA,12.96097563,"248.8715997",2521.174298,9696.4025,124.1064588,5.762937395,589.1534074,63.39150178,65.52070454,51.56400591,38.71376575,38.55499157,9.241348122,NA,NA,24.12132277,16.08499547,0.499432356,"2.603950108",9.501781128,0.229616881,0.14314959,1.453567558,0.963034044,NA,0.467341865,1.218677603,NA
"CE107",2.660332326,"2.142178118",4.87832761,207.6056123,3.740028881,NA,9.347653679,NA,558.2289514,214.5790229,37.5909865,NA,"8372.716987",NA,0.20530226,"25.54490749",11.7121293,0.936165339,NA,2.92306116,"58.99220702",507.18677,3813.152265,46.65115032,7.984532612,313.2978628,36.78869981,11.99507238,18.33083439,18.30718184,15.09703501,NA,NA,0.309771345,139.2017664,6.746899732,14.15580911,"24.49461714",91.95691223,1.090668683,0.159771461,1.016438217,0.374566595,NA,0.394725883,0.128743225,NA
"CE108",1.574391017,"3.131452543",NA,147.4017722,1.873593494,NA,3.824535583,NA,623.4297018,134.1425508,4.940197605,NA,"3775.325196",NA,NA,NA,3.207214299,0.577318372,NA,1.228161655,"16.7961911",399.1502639,3032.93129,25.15772382,4.204332258,96.17546665,10.3385617,3.345682322,1.091277526,4.478284648,4.896944719,NA,NA,NA,0.498458243,0.507348297,2.610013068,NA,0.631093434,22.04755894,NA,0.032213796,0.382886886,NA,0.219715893,NA,NA
"CE109",3.219150175,"3.245186917",15.06003887,484.4334093,3.750535347,NA,NA,NA,720.2579832,164.0354124,26.35205553,11.60025874,"5907.722307",NA,NA,"4.084978282",9.629814227,7.209645131,NA,3.082302484,"125.9983712",749.4499611,5236.868735,68.85419576,4.624945653,184.5690422,22.30110298,5.616792878,10.6744613,1.930500436,21.41434801,NA,NA,NA,1.12513842,2.978229964,NA,"0.183564701",0.953726411,0.20602486,0.145792077,3.014425284,0.916641887,NA,1.251588343,0.116740762,NA
"CE110",2.388403446,"1.000444281",NA,58.15511393,2.762618705,NA,7.292630376,NA,180.9559375,62.10540031,24.41179217,NA,"1466.205378",NA,NA,"11.78135095",10.49749688,9.284256454,NA,0.630161672,"2.826269161",125.2533339,1132.811063,11.10924602,2.218761555,46.35260204,5.542998828,5.169723815,8.579218313,25.05849466,3.845518061,0.837961286,NA,1.411678983,2188.247691,2.611599578,400.0717197,"625.8472718",3192.379414,59.91051201,0.085314216,0.68011388,0.277124414,NA,0.210693409,0.222735451,NA
"CE111",1.78756287,"1.098765771",NA,274.9221359,2.857145731,NA,10.55613997,NA,152.6729283,234.9745316,25.87144348,NA,"2925.909909",NA,0.77296709,"1.581087383",12.86702161,2.174508934,NA,3.195988042,"60.62974733",555.9718825,1156.460803,16.33240384,2.222046737,431.2063873,44.28534035,17.82407279,15.47415875,5.20860456,6.197413869,NA,NA,0.595528485,1.441990174,8.185391358,15.9948694,"0.296280746",1.205638968,NA,NA,1.657676797,0.904929396,NA,0.531279185,0.184549526,NA
"CE114",3.179497312,"0.005542094",NA,20.86343957,193.5726525,NA,1034.132361,NA,343.6270525,62.94289086,3922.552567,4.155639356,"16135.25357",33.73666725,10.11598556,"3053.182404",1898.947235,235.1418886,NA,5.046211493,"9.309748284",336.9184817,3357.535805,29.94503109,28.53682805,593.8028043,409.3947202,4.686856073,13.67177832,6223.063197,22.78525688,NA,NA,26.76854616,2025.878527,3.854965275,820.3409149,"797.4753496",1919.209707,44.0058534,0.534374384,2.106723641,0.421651262,NA,0.398745636,0.768626408,NA
"CE116",0.10788547,"0.142635325",NA,NA,8.658637904,NA,3.788538845,NA,35.35999255,9.102378429,6.271841664,NA,"43.73866278",NA,0.267190178,"26.3025426",3.486201542,21.9206336,NA,NA,"1.100118363",1.60032029,13.06812054,0.294643945,NA,3.202461398,NA,4.04822025,4.702148889,NA,NA,NA,NA,1.175555814,198.5332256,5.817281603,38.73221088,"66.38488049",302.3324664,2.975672868,NA,0.194377969,NA,0.164209001,0.301193038,NA,NA
"CE117",1.864102366,"1.987948452",18.78435074,226.9012853,2.970420157,NA,NA,NA,228.2890118,104.5671071,6.118890635,5.181568464,"2285.122526",NA,NA,"3.668766997",3.636753676,2.741852682,NA,8.547852009,"152.6148659",301.7378771,1792.425771,49.72878049,3.054177935,110.9645699,13.28179389,40.11187242,15.90769917,2.665197346,28.0043354,NA,NA,0.03878463,15.08203787,6.362332393,0.18854249,"1.396024416",3.988411312,0.165617072,0.582100618,3.498783495,3.56832083,NA,1.137236289,1.268155688,NA
"CE118",1.448284949,"0.945927816",6.281755808,90.09954719,1.929655169,NA,32.2821897,NA,498.2750961,87.35268305,180.0617096,NA,"4938.9501",NA,0.305666448,"2.826686562",10.24945028,NA,NA,8.96641485,"153.1112584",447.2366217,2823.620056,56.07190137,6.538563419,273.2738338,40.65652935,12.18825568,51.34283491,64.19974733,17.85216601,NA,NA,0.981279321,34.86174545,5.370278268,0.978398533,"2.89147885",1.87064123,NA,1.76083398,9.384680229,0.56363873,NA,0.592964945,1.820276458,NA
"CE121",1.417461565,"1.445618752",6.423460583,233.4614881,2.836824917,NA,14.79302204,NA,550.0111324,161.4313414,29.80899924,NA,"6114.288788",NA,NA,"3.176711465",11.64877768,0.876666403,NA,2.381464399,"76.30892283",703.898089,2161.937335,32.9024606,4.13815793,529.4430539,65.32840851,73.19604452,47.26385811,8.060801965,7.55004581,NA,NA,NA,426.0959893,26.98324408,386.798002,"111.5579641",4740.799147,38.85627181,0.13553128,1.317012071,1.125670565,NA,0.608793122,0.237738463,NA
"CE122",1.386718354,"1.529952961",43.63997279,379.9447924,10.11226553,NA,30.78781286,NA,1406.792528,389.4511255,27.36634291,14.4512001,"5911.646707",NA,1.011571848,"11.00469477",12.04935626,1.545010664,NA,6.404265124,"353.8883724",613.3733083,2599.121762,72.18239446,12.56311609,243.1970167,26.77431325,79.77258645,21.23317372,9.744489195,2.714519408,0.341760147,NA,0.099773962,33.79920444,5.347747895,NA,"3.388497947",9.080265989,NA,NA,0.261066582,0.402397277,NA,NA,0.25778945,NA
"CE123",2.510732664,"2.354816148",NA,151.1916948,55.41141561,NA,28.68318127,NA,740.6416327,169.9822839,145.0793119,NA,"6720.339349",NA,4.30882568,"165.3995022",270.7569593,69.80155926,NA,2.132436052,"6.882748042",549.0147692,3535.124977,16.30521709,7.517625912,454.217369,64.39905173,12.37393556,78.04130125,148.4483293,13.58226988,NA,NA,6.248457075,3.318608548,123.308276,41.73451935,"2.088332586",75.60929997,23.55863871,1.298808394,7.96247564,0.531046825,NA,4.664133962,NA,NA
