sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
9002000001258647LL,EGAN00001373688,SAMEA3885463,EGAR00001420294,EGAX00001383190,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001258923LL,EGAN00001374455,SAMEA3886230,EGAR00001420295,EGAX00001383191,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001259288LL,EGAN00001374478,SAMEA3886253,EGAR00001420296,EGAX00001383192,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001259312LL,EGAN00001373875,SAMEA3885650,EGAR00001420297,EGAX00001383193,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001259671LL,EGAN00001373846,SAMEA3885621,EGAR00001420298,EGAX00001383194,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001260215LL,EGAN00001374415,SAMEA3886190,EGAR00001420299,EGAX00001383195,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001260467LL,EGAN00001373855,SAMEA3885630,EGAR00001420300,EGAX00001383196,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001260707LL,EGAN00001373802,SAMEA3885577,EGAR00001420301,EGAX00001383197,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001260888LL,EGAN00001373850,SAMEA3885625,EGAR00001420302,EGAX00001383198,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001261286LL,EGAN00001374446,SAMEA3886221,EGAR00001420303,EGAX00001383199,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001261320LL,EGAN00001373589,SAMEA3885364,EGAR00001420304,EGAX00001383200,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001261704LL,EGAN00001374431,SAMEA3886206,EGAR00001420305,EGAX00001383201,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001262004LL,EGAN00001373812,SAMEA3885587,EGAR00001420306,EGAX00001383202,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001262158LL,EGAN00001374250,SAMEA3886025,EGAR00001420307,EGAX00001383203,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001262194LL,EGAN00001373683,SAMEA3885458,EGAR00001420308,EGAX00001383204,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001262229LL,EGAN00001374287,SAMEA3886062,EGAR00001420309,EGAX00001383205,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001262962LL,EGAN00001373742,SAMEA3885517,EGAR00001420310,EGAX00001383206,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001263235LL,EGAN00001374264,SAMEA3886039,EGAR00001420311,EGAX00001383207,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001263816LL,EGAN00001374271,SAMEA3886046,EGAR00001420312,EGAX00001383208,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001264644LL,EGAN00001373869,SAMEA3885644,EGAR00001420313,EGAX00001383209,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001265220LL,EGAN00001374285,SAMEA3886060,EGAR00001420314,EGAX00001383210,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001265472LL,EGAN00001374280,SAMEA3886055,EGAR00001420315,EGAX00001383211,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001265946LL,EGAN00001373894,SAMEA3885669,EGAR00001420316,EGAX00001383212,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001266077LL,EGAN00001373663,SAMEA3885438,EGAR00001420317,EGAX00001383213,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001266362LL,EGAN00001373653,SAMEA3885428,EGAR00001420318,EGAX00001383214,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001266694LL,EGAN00001374237,SAMEA3886012,EGAR00001420319,EGAX00001383215,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001266890LL,EGAN00001373786,SAMEA3885561,EGAR00001420320,EGAX00001383216,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001267207LL,EGAN00001373883,SAMEA3885658,EGAR00001420321,EGAX00001383217,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001267477LL,EGAN00001374347,SAMEA3886122,EGAR00001420322,EGAX00001383218,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001268151LL,EGAN00001373792,SAMEA3885567,EGAR00001420323,EGAX00001383219,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001268330LL,EGAN00001374291,SAMEA3886066,EGAR00001420324,EGAX00001383220,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001268812LL,EGAN00001374449,SAMEA3886224,EGAR00001420325,EGAX00001383221,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001269112LL,EGAN00001374372,SAMEA3886147,EGAR00001420326,EGAX00001383222,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001269702LL,EGAN00001373853,SAMEA3885628,EGAR00001420327,EGAX00001383223,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001269749LL,EGAN00001374401,SAMEA3886176,EGAR00001420328,EGAX00001383224,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001270196LL,EGAN00001374217,SAMEA3885992,EGAR00001420329,EGAX00001383225,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001270534LL,EGAN00001374426,SAMEA3886201,EGAR00001420330,EGAX00001383226,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001270580LL,EGAN00001373672,SAMEA3885447,EGAR00001420331,EGAX00001383227,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001271086LL,EGAN00001373784,SAMEA3885559,EGAR00001420332,EGAX00001383228,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001271522LL,EGAN00001374454,SAMEA3886229,EGAR00001420333,EGAX00001383229,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001271540LL,EGAN00001374363,SAMEA3886138,EGAR00001420334,EGAX00001383230,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001271970LL,EGAN00001374398,SAMEA3886173,EGAR00001420335,EGAX00001383231,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001272430LL,EGAN00001373794,SAMEA3885569,EGAR00001420336,EGAX00001383232,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001273035LL,EGAN00001373600,SAMEA3885375,EGAR00001420337,EGAX00001383233,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001273483LL,EGAN00001373612,SAMEA3885387,EGAR00001420338,EGAX00001383234,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001273812LL,EGAN00001374453,SAMEA3886228,EGAR00001420339,EGAX00001383235,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001273877LL,EGAN00001374483,SAMEA3886258,EGAR00001420340,EGAX00001383236,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001273957LL,EGAN00001373620,SAMEA3885395,EGAR00001420341,EGAX00001383237,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001274471LL,EGAN00001373756,SAMEA3885531,EGAR00001420342,EGAX00001383238,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001274506LL,EGAN00001374402,SAMEA3886177,EGAR00001420343,EGAX00001383239,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001274847LL,EGAN00001373863,SAMEA3885638,EGAR00001420344,EGAX00001383240,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001275049LL,EGAN00001373920,SAMEA3885695,EGAR00001420345,EGAX00001383241,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001275441LL,EGAN00001373586,SAMEA3885361,EGAR00001420346,EGAX00001383242,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001275760LL,EGAN00001373555,SAMEA3885330,EGAR00001420347,EGAX00001383243,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001276037LL,EGAN00001373770,SAMEA3885545,EGAR00001420348,EGAX00001383244,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001276538LL,EGAN00001373667,SAMEA3885442,EGAR00001420349,EGAX00001383245,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001276556LL,EGAN00001373736,SAMEA3885511,EGAR00001420350,EGAX00001383246,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001277188LL,EGAN00001373897,SAMEA3885672,EGAR00001420351,EGAX00001383247,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001277357LL,EGAN00001374481,SAMEA3886256,EGAR00001420352,EGAX00001383248,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001277446LL,EGAN00001373720,SAMEA3885495,EGAR00001420353,EGAX00001383249,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001277992LL,EGAN00001373866,SAMEA3885641,EGAR00001420354,EGAX00001383250,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001278158LL,EGAN00001374456,SAMEA3886231,EGAR00001420355,EGAX00001383251,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001278443LL,EGAN00001373675,SAMEA3885450,EGAR00001420356,EGAX00001383252,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001278828LL,EGAN00001373596,SAMEA3885371,EGAR00001420357,EGAX00001383253,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001279253LL,EGAN00001374474,SAMEA3886249,EGAR00001420358,EGAX00001383254,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001279843LL,EGAN00001374488,SAMEA3886263,EGAR00001420359,EGAX00001383255,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001280002LL,EGAN00001373681,SAMEA3885456,EGAR00001420360,EGAX00001383256,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001280218LL,EGAN00001374299,SAMEA3886074,EGAR00001420361,EGAX00001383257,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001280460LL,EGAN00001374373,SAMEA3886148,EGAR00001420362,EGAX00001383258,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001280970LL,EGAN00001373766,SAMEA3885541,EGAR00001420363,EGAX00001383259,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001281313LL,EGAN00001374282,SAMEA3886057,EGAR00001420364,EGAX00001383260,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001281529LL,EGAN00001374473,SAMEA3886248,EGAR00001420365,EGAX00001383261,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001282052LL,EGAN00001373904,SAMEA3885679,EGAR00001420366,EGAX00001383262,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001282722LL,EGAN00001373656,SAMEA3885431,EGAR00001420367,EGAX00001383263,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001282876LL,EGAN00001374303,SAMEA3886078,EGAR00001420368,EGAX00001383264,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001283292LL,EGAN00001373884,SAMEA3885659,EGAR00001420369,EGAX00001383265,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001283416LL,EGAN00001374467,SAMEA3886242,EGAR00001420370,EGAX00001383266,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001283701LL,EGAN00001373907,SAMEA3885682,EGAR00001420371,EGAX00001383267,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001283757LL,EGAN00001373735,SAMEA3885510,EGAR00001420372,EGAX00001383268,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001284235LL,EGAN00001373755,SAMEA3885530,EGAR00001420373,EGAX00001383269,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001285134LL,EGAN00001373558,SAMEA3885333,EGAR00001420374,EGAX00001383270,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001285546LL,EGAN00001374208,SAMEA3885983,EGAR00001420375,EGAX00001383271,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001285887LL,EGAN00001374185,SAMEA3885960,EGAR00001420376,EGAX00001383272,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001286534LL,EGAN00001373871,SAMEA3885646,EGAR00001420377,EGAX00001383273,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001287012LL,EGAN00001373624,SAMEA3885399,EGAR00001420378,EGAX00001383274,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001287540LL,EGAN00001373845,SAMEA3885620,EGAR00001420379,EGAX00001383275,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001288118LL,EGAN00001373854,SAMEA3885629,EGAR00001420380,EGAX00001383276,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001288940LL,EGAN00001374436,SAMEA3886211,EGAR00001420381,EGAX00001383277,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001290401LL,EGAN00001373816,SAMEA3885591,EGAR00001420382,EGAX00001383278,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001290653LL,EGAN00001373880,SAMEA3885655,EGAR00001420383,EGAX00001383279,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001291552LL,EGAN00001374325,SAMEA3886100,EGAR00001420384,EGAX00001383280,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001294330LL,EGAN00001373877,SAMEA3885652,EGAR00001420385,EGAX00001383281,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001294380LL,EGAN00001373819,SAMEA3885594,EGAR00001420386,EGAX00001383282,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001294410LL,EGAN00001373698,SAMEA3885473,EGAR00001420387,EGAX00001383283,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001294750LL,EGAN00001374384,SAMEA3886159,EGAR00001420388,EGAX00001383284,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001295079LL,EGAN00001374418,SAMEA3886193,EGAR00001420389,EGAX00001383285,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001295598LL,EGAN00001373892,SAMEA3885667,EGAR00001420390,EGAX00001383286,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001295785LL,EGAN00001373747,SAMEA3885522,EGAR00001420391,EGAX00001383287,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001296209LL,EGAN00001374470,SAMEA3886245,EGAR00001420392,EGAX00001383288,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001296441LL,EGAN00001374390,SAMEA3886165,EGAR00001420393,EGAX00001383289,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001296521LL,EGAN00001373568,SAMEA3885343,EGAR00001420394,EGAX00001383290,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001296684LL,EGAN00001374214,SAMEA3885989,EGAR00001420395,EGAX00001383291,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001297529LL,EGAN00001373614,SAMEA3885389,EGAR00001420396,EGAX00001383292,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001299354LL,EGAN00001373862,SAMEA3885637,EGAR00001420397,EGAX00001383293,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001299550LL,EGAN00001373885,SAMEA3885660,EGAR00001420398,EGAX00001383294,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001300277LL,EGAN00001373805,SAMEA3885580,EGAR00001420399,EGAX00001383295,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001300660LL,EGAN00001373777,SAMEA3885552,EGAR00001420400,EGAX00001383296,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001300820LL,EGAN00001373772,SAMEA3885547,EGAR00001420401,EGAX00001383297,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001301588LL,EGAN00001374479,SAMEA3886254,EGAR00001420402,EGAX00001383298,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001301926LL,EGAN00001374350,SAMEA3886125,EGAR00001420403,EGAX00001383299,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001302217LL,EGAN00001373730,SAMEA3885505,EGAR00001420404,EGAX00001383300,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001302692LL,EGAN00001374427,SAMEA3886202,EGAR00001420405,EGAX00001383301,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001302932LL,EGAN00001373831,SAMEA3885606,EGAR00001420406,EGAX00001383302,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001303134LL,EGAN00001374272,SAMEA3886047,EGAR00001420407,EGAX00001383303,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001303377LL,EGAN00001373906,SAMEA3885681,EGAR00001420408,EGAX00001383304,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001303715LL,EGAN00001373891,SAMEA3885666,EGAR00001420409,EGAX00001383305,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001304015LL,EGAN00001373641,SAMEA3885416,EGAR00001420410,EGAX00001383306,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001304042LL,EGAN00001374261,SAMEA3886036,EGAR00001420411,EGAX00001383307,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001304937LL,EGAN00001373567,SAMEA3885342,EGAR00001420412,EGAX00001383308,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001305237LL,EGAN00001374409,SAMEA3886184,EGAR00001420413,EGAX00001383309,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001305350LL,EGAN00001374230,SAMEA3886005,EGAR00001420414,EGAX00001383310,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001307240LL,EGAN00001373746,SAMEA3885521,EGAR00001420415,EGAX00001383311,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001307474LL,EGAN00001373561,SAMEA3885336,EGAR00001420416,EGAX00001383312,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001307820LL,EGAN00001373999,SAMEA3885774,EGAR00001420417,EGAX00001383313,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001308622LL,EGAN00001374475,SAMEA3886250,EGAR00001420418,EGAX00001383314,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001310371LL,EGAN00001373737,SAMEA3885512,EGAR00001420419,EGAX00001383315,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001311252LL,EGAN00001374184,SAMEA3885959,EGAR00001420420,EGAX00001383316,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001312311LL,EGAN00001374242,SAMEA3886017,EGAR00001420421,EGAX00001383317,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001315331LL,EGAN00001374204,SAMEA3885979,EGAR00001420422,EGAX00001383318,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001316034LL,EGAN00001374464,SAMEA3886239,EGAR00001420423,EGAX00001383319,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001316393LL,EGAN00001373652,SAMEA3885427,EGAR00001420424,EGAX00001383320,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001317069LL,EGAN00001373889,SAMEA3885664,EGAR00001420425,EGAX00001383321,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001317659LL,EGAN00001373621,SAMEA3885396,EGAR00001420426,EGAX00001383322,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001318745LL,EGAN00001373631,SAMEA3885406,EGAR00001420427,EGAX00001383323,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001318923LL,EGAN00001374442,SAMEA3886217,EGAR00001420428,EGAX00001383324,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001319297LL,EGAN00001374166,SAMEA3885941,EGAR00001420429,EGAX00001383325,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001320130LL,EGAN00001374457,SAMEA3886232,EGAR00001420430,EGAX00001383326,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001321910LL,EGAN00001373727,SAMEA3885502,EGAR00001420431,EGAX00001383327,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001321947LL,EGAN00001374167,SAMEA3885942,EGAR00001420432,EGAX00001383328,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001322390LL,EGAN00001374190,SAMEA3885965,EGAR00001420433,EGAX00001383329,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001322425LL,EGAN00001374397,SAMEA3886172,EGAR00001420434,EGAX00001383330,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001323431LL,EGAN00001373859,SAMEA3885634,EGAR00001420435,EGAX00001383331,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001323502LL,EGAN00001374666,SAMEA3886441,EGAR00001420436,EGAX00001383332,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001323736LL,EGAN00001374178,SAMEA3885953,EGAR00001420437,EGAX00001383333,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001323816LL,EGAN00001374362,SAMEA3886137,EGAR00001420438,EGAX00001383334,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001324090LL,EGAN00001373676,SAMEA3885451,EGAR00001420439,EGAX00001383335,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001325507LL,EGAN00001374399,SAMEA3886174,EGAR00001420440,EGAX00001383336,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001326836LL,EGAN00001374361,SAMEA3886136,EGAR00001420441,EGAX00001383337,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001327252LL,EGAN00001373556,SAMEA3885331,EGAR00001420442,EGAX00001383338,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001327299LL,EGAN00001373665,SAMEA3885440,EGAR00001420443,EGAX00001383339,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001328080LL,EGAN00001374171,SAMEA3885946,EGAR00001420100,EGAX00001382996,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001328160LL,EGAN00001374444,SAMEA3886219,EGAR00001420444,EGAX00001383340,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001330356LL,EGAN00001373722,SAMEA3885497,EGAR00001420445,EGAX00001383341,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001330810LL,EGAN00001374496,SAMEA3886271,EGAR00001420446,EGAX00001383342,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001331184LL,EGAN00001374354,SAMEA3886129,EGAR00001420447,EGAX00001383343,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001331460LL,EGAN00001373763,SAMEA3885538,EGAR00001420448,EGAX00001383344,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001332172LL,EGAN00001373919,SAMEA3885694,EGAR00001420449,EGAX00001383345,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001333492LL,EGAN00001373856,SAMEA3885631,EGAR00001420450,EGAX00001383346,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001333895LL,EGAN00001374164,SAMEA3885939,EGAR00001420451,EGAX00001383347,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001334014LL,EGAN00001374592,SAMEA3886367,EGAR00001420452,EGAX00001383348,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001334186LL,EGAN00001374244,SAMEA3886019,EGAR00001420453,EGAX00001383349,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001334408LL,EGAN00001373908,SAMEA3885683,EGAR00001420454,EGAX00001383350,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001335334LL,EGAN00001374011,SAMEA3885786,EGAR00001420455,EGAX00001383351,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001335657LL,EGAN00001374236,SAMEA3886011,EGAR00001420456,EGAX00001383352,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001336000LL,EGAN00001374028,SAMEA3885803,EGAR00001420457,EGAX00001383353,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001336082LL,EGAN00001373938,SAMEA3885713,EGAR00001420458,EGAX00001383354,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001336350LL,EGAN00001373789,SAMEA3885564,EGAR00001420459,EGAX00001383355,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001336500LL,EGAN00001374165,SAMEA3885940,EGAR00001420460,EGAX00001383356,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001336618LL,EGAN00001374659,SAMEA3886434,EGAR00001420461,EGAX00001383357,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001337007LL,EGAN00001373651,SAMEA3885426,EGAR00001420462,EGAX00001383358,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001337277LL,EGAN00001373832,SAMEA3885607,EGAR00001420463,EGAX00001383359,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001337535LL,EGAN00001374538,SAMEA3886313,EGAR00001420464,EGAX00001383360,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001338013LL,EGAN00001374077,SAMEA3885852,EGAR00001420465,EGAX00001383361,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001338180LL,EGAN00001374377,SAMEA3886152,EGAR00001420466,EGAX00001383362,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001338416LL,EGAN00001374369,SAMEA3886144,EGAR00001420467,EGAX00001383363,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001338480LL,EGAN00001373749,SAMEA3885524,EGAR00001420468,EGAX00001383364,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001338659LL,EGAN00001373945,SAMEA3885720,EGAR00001420469,EGAX00001383365,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001338668LL,EGAN00001374290,SAMEA3886065,EGAR00001420470,EGAX00001383366,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001339001LL,EGAN00001373995,SAMEA3885770,EGAR00001420471,EGAX00001383367,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001339140LL,EGAN00001373797,SAMEA3885572,EGAR00001420472,EGAX00001383368,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001339422LL,EGAN00001374311,SAMEA3886086,EGAR00001420473,EGAX00001383369,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001339431LL,EGAN00001374172,SAMEA3885947,EGAR00001420474,EGAX00001383370,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001339905LL,EGAN00001374663,SAMEA3886438,EGAR00001420475,EGAX00001383371,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001340370LL,EGAN00001373668,SAMEA3885443,EGAR00001420476,EGAX00001383372,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001340924LL,EGAN00001373693,SAMEA3885468,EGAR00001420477,EGAX00001383373,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001341467LL,EGAN00001374353,SAMEA3886128,EGAR00001420478,EGAX00001383374,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001341879LL,EGAN00001373607,SAMEA3885382,EGAR00001420479,EGAX00001383375,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001342061LL,EGAN00001373769,SAMEA3885544,EGAR00001420480,EGAX00001383376,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001342203LL,EGAN00001374423,SAMEA3886198,EGAR00001420481,EGAX00001383377,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001342660LL,EGAN00001373826,SAMEA3885601,EGAR00001420482,EGAX00001383378,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001342983LL,EGAN00001374258,SAMEA3886033,EGAR00001420483,EGAX00001383379,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001343004LL,EGAN00001373925,SAMEA3885700,EGAR00001420484,EGAX00001383380,EGAS00001001704,ENA-CHECKLIST=ERC000026
9002000001343407LL,EGAN00001374349,SAMEA3886124,EGAR00001420485,EGAX00001383381,EGAS00001001704,ENA-CHECKLIST=ERC000026
