sample_alias,sample_accession_id,biosample_id,run_accession_id,experiment_accession_id,study_accession_id,sample_attributes
9002000001318745_4yearsFollowUpMGS,EGAN00002854360,SAMEA7985035,EGAR00002588833,EGAX00002367916,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001319297_4yearsFollowUpMGS,EGAN00002854464,SAMEA7985175,EGAR00002589118,EGAX00002368201,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001321910_4yearsFollowUpMGS,EGAN00002854519,SAMEA7985230,EGAR00002588885,EGAX00002367968,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001322390_4yearsFollowUpMGS,EGAN00002854452,SAMEA7985163,EGAR00002589130,EGAX00002368213,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001323431_4yearsFollowUpMGS,EGAN00002854560,SAMEA7985321,EGAR00002588947,EGAX00002368030,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001323502_4yearsFollowUpMGS,EGAN00002854453,SAMEA7985164,EGAR00002589125,EGAX00002368208,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001328080LL_4yearsFollowUpMGS,EGAN00002854461,SAMEA7985172,EGAR00002589121,EGAX00002368204,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001331184_4yearsFollowUpMGS,EGAN00002854523,SAMEA7985234,EGAR00002588889,EGAX00002367972,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001334014_4yearsFollowUpMGS,EGAN00002854508,SAMEA7985219,EGAR00002589065,EGAX00002368148,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001334186_4yearsFollowUpMGS,EGAN00002854392,SAMEA7985103,EGAR00002588825,EGAX00002367908,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001338013_4yearsFollowUpMGS,EGAN00002854517,SAMEA7985228,EGAR00002589074,EGAX00002368157,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001338416_4yearsFollowUpMGS,EGAN00002854533,SAMEA7985244,EGAR00002588899,EGAX00002367982,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001338480_4yearsFollowUpMGS,EGAN00002854534,SAMEA7985245,EGAR00002588900,EGAX00002367983,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001338659_4yearsFollowUpMGS,EGAN00002854608,SAMEA7985369,EGAR00002588997,EGAX00002368080,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001340924_4yearsFollowUpMGS,EGAN00002854332,SAMEA7985007,EGAR00002588861,EGAX00002367944,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001341467_4yearsFollowUpMGS,EGAN00002854522,SAMEA7985233,EGAR00002588888,EGAX00002367971,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001341879_4yearsFollowUpMGS,EGAN00002854399,SAMEA7985110,EGAR00002588818,EGAX00002367901,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001343701_4yearsFollowUpMGS,EGAN00002854509,SAMEA7985220,EGAR00002589066,EGAX00002368149,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001346051_4yearsFollowUpMGS,EGAN00002854427,SAMEA7985138,EGAR00002588883,EGAX00002367966,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001346540_4yearsFollowUpMGS,EGAN00002854348,SAMEA7985023,EGAR00002588845,EGAX00002367928,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001349142LL_4yearsFollowUpMGS,EGAN00002854596,SAMEA7985357,EGAR00002588984,EGAX00002368067,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001350303_4yearsFollowUpMGS,EGAN00002854561,SAMEA7985322,EGAR00002588948,EGAX00002368031,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001350528_4yearsFollowUpMGS,EGAN00002854454,SAMEA7985165,EGAR00002589126,EGAX00002368209,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001351641_4yearsFollowUpMGS,EGAN00002854637,SAMEA7985398,EGAR00002589024,EGAX00002368107,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001352086_4yearsFollowUpMGS,EGAN00002854347,SAMEA7985022,EGAR00002588848,EGAX00002367931,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001352282_4yearsFollowUpMGS,EGAN00002854421,SAMEA7985132,EGAR00002588877,EGAX00002367960,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
9002000001352980_4yearsFollowUpMGS,EGAN00002854639,SAMEA7985400,EGAR00002589029,EGAX00002368112,EGAS00001001704,ENA-CHECKLIST=ERC000026;organism_part=stool
