"","2-aminoadipate","2-hydroxy-3-methylpentanoate","3-hydroxyanthranilic acid","4-acetamidobutanoate","acetyltyrosine","agmatine","alanine","arginine","asparagine","aspartate","butyrate","cadaverine","citrulline","D-alany-D-alanine","diaminopimelate","formylmethionine","gentisate","glutamine","glycine","histamine","histidine","homovanillate","hydrocinnamate","hydrocinnamate (phenylpropionate)","imidazole propionate","imidazoleacetic acid","indole","indole-3-propionate","indoleacetate","indolelactate","isoleucine","leucine","leucylglycine","lysine","methionine","methylimidazole acetic acid","N-acetylglutamine","N-acetylhistamine","N6-acetyl-L-lysine","N6-acetyllysine","ornithine","phenylalanine","phenyllactate","pipecolic acid","proline","pyridoxamine","quinolinate","serine","taurine","threonine","tryptamine","tryptophan","tyrosine","urocanic acid","valine","xanthurenate"
"9032-A",1031749,1302657166,NA,3262.332091,NA,332900.000000002,186104.8459,6204102.53,557855.1378,366459296,NA,1348846.00000001,35147.51101,46222.9999999996,NA,4134.00000000001,NA,1095710.643,52835.54623,2891.89248,500499348.3,33621388,NA,48,NA,273170.472,41866.97533,NA,43,4794938,415494700.4,464222800.8,27186,3493402.01,345400.2655,807177.4194,3468,1931,5645.098208,6658589,2029954.779,595668946.3,783449931,3832.133906,3596740.975,282,1882715,226590.4282,33664.84016,364158.5609,41,267834903.9,164090813.7,50175.40661,493794894.6,5961930
"9032-B",NA,86476477,307.2958149,80.67835141,NA,103747.000000001,15044.61174,13703.28135,210.1438734,2276334336,NA,812305.999999993,25772.72048,12365.0000000001,NA,3823.00000000002,NA,10693.47196,812.0635109,5009.238583,1368727.028,3624426,NA,31,NA,732978.6625,35733.54008,NA,NA,NA,27428696.23,30023882.46,16023,31633.51695,54599.60232,11667934.44,1931,1488,3611.306625,2751673,137242.9573,18629087.95,13511421,101598.1212,234194.8925,NA,3495467,1733.528556,7310.261197,4545.443662,115,2730508.327,4613517.183,240582.6327,25711643.8,7301495
"9032-D",4093403,15331690,808.8267034,14326.81224,NA,4111,138921.9587,1900256.433,13180.12122,282469409,48682351,23630.0000000001,112414.9671,7528.99999999993,NA,9059.99999999995,3184523,167323.0381,12572.648,66485.8963,6667151.691,5711596,1661755,1100,NA,29715323.86,110188.1341,NA,900,745769,203632316.5,227713230.7,43524,688570.8952,424881.4452,311714236.9,900,8306,86365.2868,1590878,2443057.645,156361557.5,8182989,159280.8435,1218447.944,3926,NA,31738.76938,1694778.616,55623.04652,222,27146749.62,30124143.1,3372682.787,608537209.6,NA
"9032-E",2826483,18771740,946.8620416,8970.19459,NA,25254.0000000003,76919.30834,734145.9553,NA,435061493,226364115,18381.0000000002,158978.7249,19660.0000000002,NA,6459.99999999994,4330995,17683.08971,77819.12133,391353.9608,3035063.355,14134117,6825495,5760,NA,1523081.994,87092.19415,1889785,935,404770,150422670.7,173313264.9,72891,111560.6384,218356.0907,8354025.587,8306,5511,49172.13373,2360755,936834.7138,109799872,11786107,125241.6187,988862.1364,5313,NA,17169.96106,675447.8601,33134.29033,334,20628261.45,19799073.49,1017925.214,3175661129,123509
"9031-A",NA,163741139,24.09851393,2212.101823,NA,997730.999999995,190530.6477,3257903.615,435552.9969,173424652,114149904,468729.000000001,16836.35588,35194.0000000002,1348656,5715.99999999997,19225822,798867.8632,36193.84159,5005.4031,195519407.3,99941406,NA,775,NA,89715.22347,48075.11774,NA,2349,20377170,441911962.5,526510632.7,12789,1340204.831,567057.8787,593593.8864,1585,4760,7384.068181,3025279,498236.0668,517913328.4,153960354,5884.998858,5725008.824,421,1704367,129287.8185,48647.10305,283650.1407,971,164237229.8,93817416.4,147200.1021,355234705.4,6885878
"9031-B",904293,7417076,3457.305276,523.7587337,NA,354783.999999997,58792.85092,55502.2527,241.3520056,188439722,NA,808345.000000007,126133.7927,15788.0000000001,NA,12318.0000000001,NA,58489.29479,4553.341961,106.9910952,2584448.283,3582709,NA,327,NA,67333.4773,156005.4577,NA,NA,372010,120211841.8,128069313.9,22562,180171.7603,241656.8058,30473344.33,4760,1671,99695.79545,3343328,1769071.634,82227392.92,4637114,820027.0291,765885.8027,2,1928610,11073.57836,6675.74671,21549.99711,78,8808395.236,17099228.51,885725.782,104828735.5,1379609
"9031-C",242596,1940575,3200.400681,14124.14521,NA,104961,66385.76462,32004.00681,1413.827262,575643212,NA,8553.99999999996,348104.7023,4550.99999999998,NA,6732.00000000006,NA,183223.754,3925.24525,14.12740538,4917820.451,1972944,NA,113,NA,424905.6248,158783.3427,NA,NA,NA,113646529.2,128696592.2,10760,115651.2874,247436.0717,113160353,1671,6690,179614.7453,1208188,2430426.659,107402046.5,NA,579848.4867,800041.4872,6,1113472,12851.59201,7420.147997,25080.49145,163,10577974.11,21248280.6,1038712.047,155278249.8,934238
"9031-D",1197200,8675732,NA,1615.458634,NA,4751.00000000006,405446.596,764543.8402,364.4344032,187214220,409901759,6894.00000000003,60398.98572,7401.00000000004,NA,9628.99999999999,25601621,146352.2149,62294.21652,68332.73987,262151364.3,2520775,307693949,336127,NA,197649.7952,31855.77846,2306365,3502,3175003,756500343.6,821531153,21087,3964412.414,114684.6703,319603.8145,6690,10748,20279.39931,1869815,67416354.52,710528516.1,4718780,6546.067016,8264119.521,2036,NA,7435.235389,151413.8994,14847.69363,1072,7072013.331,11277421.75,1103855.047,820668123.4,1440855
"9030-A",1618692,91437934,914.2748403,6724.999381,NA,148941.000000001,212554.6783,4514107.073,486863.5428,444478465,177312868,25791.0000000002,15820.00232,39033.9999999997,748528,8334.99999999993,15987426,1618383.291,64430.97972,38842.45866,55398809.81,11483030,242937694,386677,NA,319543.1201,44945.75115,2699202,7856,787835,352723738.8,428379907.7,61587,2234274.379,305706.0784,8419179.104,4289,1081,6914.965375,2690540,1039489.859,561121539.6,10350905,5057.971589,9590013.687,579,NA,172391.6004,79499.24495,285531.0802,37196,169752592.8,93119633.05,307763.1967,350329409.5,13744754
"9030-B",521618,4903444,2234.255714,13201.30839,2248396,271963.999999999,231518.7867,1077451.78,15939.40284,457857528,NA,556775,688670.4965,59524.0000000006,NA,11590.0000000001,NA,249527.3525,15641.01291,74240.39185,10479021.28,4006245,NA,72427,NA,5561755.863,113367.3823,NA,12278,NA,404039880.6,485940586.3,79602,1671695.317,947850.274,279461275.8,1081,852,238336.5073,1339146,7955655.079,360104711.9,3642557,267295.0051,2637687.454,NA,2099432,46739.6023,38165.78357,73462.62138,2980,37706884.32,60683161.75,3436522.533,376025003.1,7974399
"9003-A",723053,64869742,NA,2591.42879,8278272,335096.999999999,303127.8009,7556313.549,661155.3383,710288522,57264763,50357.0000000001,68847.01222,48546.0000000003,NA,10495,NA,1810295.191,61914.62988,5820.309633,900552112.6,10656860,NA,50,3228.150657,128531.6552,44133.87967,NA,62,2040543,392840417.2,890190877.1,7834,5582867.871,514184.3054,394131.5657,4503,1134,7515.070474,2785487,3844276.908,987426482.1,48475376,6394.965722,4747714.409,NA,2582013,276116.7741,110030.2118,561896.0947,67,400007684.9,213356521.4,438544.3763,710515240.4,15714337
